StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.22364989999994,None,c,3.028976299999954,21.22364989999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing15,001,2022_Aug_04_1424,ProdSingRedoBetween,2021.2.3,60.050033688054526,
,,,,,,,,,,,,,,SingTest,24.303293800000006,None,space,216.47699150000005,24.303293800000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing15,001,2022_Aug_04_1424,ProdSingRedoBetween,2021.2.3,60.050033688054526,
0,0,0,0,,,,,,,,,,,,,,,,,,24.303293800000006,None,24.303293800000006,None,24.303293800000006,None,24.303293800000006,None,243.30478879999998,None,crisis,23,1,sing,yellow,241.30513580000002,None,None,241.30513580000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing15,001,2022_Aug_04_1424,ProdSingRedoBetween,2021.2.3,60.050033688054526,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,245.82381480000004,None,quick,17,2,sing,yellow,243.81076610000002,None,None,243.81076610000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing15,001,2022_Aug_04_1424,ProdSingRedoBetween,2021.2.3,60.050033688054526,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,248.32658179999999,None,appeal,15,3,sing,yellow,246.3273411,None,None,246.3273411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing15,001,2022_Aug_04_1424,ProdSingRedoBetween,2021.2.3,60.050033688054526,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,250.828845,None,hearing,48,4,sing,blue,248.82696839999994,None,None,248.82696839999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing15,001,2022_Aug_04_1424,ProdSingRedoBetween,2021.2.3,60.050033688054526,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,253.34788760000004,None,watch,40,5,sing,blue,251.33333259999995,None,None,251.33333259999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing15,001,2022_Aug_04_1424,ProdSingRedoBetween,2021.2.3,60.050033688054526,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,255.8505629,None,pattern,85,6,sing,red,253.84885469999995,None,None,253.84885469999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing15,001,2022_Aug_04_1424,ProdSingRedoBetween,2021.2.3,60.050033688054526,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,258.3699273,None,block,27,7,sing,yellow,256.3549861,None,None,256.3549861,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing15,001,2022_Aug_04_1424,ProdSingRedoBetween,2021.2.3,60.050033688054526,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,260.8888674,None,volume,81,8,sing,red,258.8784289,None,None,258.8784289,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing15,001,2022_Aug_04_1424,ProdSingRedoBetween,2021.2.3,60.050033688054526,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,263.3914231,None,light,42,9,sing,blue,261.38950339999997,None,None,261.38950339999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing15,001,2022_Aug_04_1424,ProdSingRedoBetween,2021.2.3,60.050033688054526,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,265.8939567,None,resistance,7,10,sing,yellow,263.89187979999997,None,None,263.89187979999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing15,001,2022_Aug_04_1424,ProdSingRedoBetween,2021.2.3,60.050033688054526,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,268.3963936,None,dispute,43,11,sing,blue,266.39443729999994,None,None,266.39443729999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing15,001,2022_Aug_04_1424,ProdSingRedoBetween,2021.2.3,60.050033688054526,
