StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.36111549999987,None,c,1.7713850000000093,21.36111549999987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
,,,,,,,,,,,,,,SingTest,23.194386600000144,None,space,237.61017419999916,23.194386600000144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
0,0,0,0,,,,,,,,,,,,,,,,,,23.194386600000144,None,23.194386600000144,None,23.194386600000144,None,23.194386600000144,None,263.3435013999988,None,empty,44,1,sing,blue,261.34384019999925,None,None,261.34384019999925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,265.862545699998,None,volume,30,2,sing,blue,263.8501225,None,None,263.8501225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,268.38183149999895,None,broad,24,3,sing,yellow,266.3670431999999,None,None,266.3670431999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,270.90104809999684,None,passage,59,4,sing,yellow,268.8857578999996,None,None,268.8857578999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,273.40338979999797,None,route,88,5,sing,red,271.40212489999976,None,None,271.40212489999976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,275.92277589999867,None,cousin,17,6,sing,yellow,273.90770249999696,None,None,273.90770249999696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,278.4419514000001,None,narrow,11,7,sing,yellow,276.4272805999972,None,None,276.4272805999972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,280.9444595999994,None,generation,84,8,sing,red,278.9449730999986,None,None,278.9449730999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,283.46346379999886,None,silence,41,9,sing,blue,281.4538021999979,None,None,281.4538021999979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,285.9827789999981,None,heavy,6,10,sing,yellow,283.96740639999916,None,None,283.96740639999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,288.5020463999972,None,election,78,11,sing,red,286.48748499999783,None,None,286.48748499999783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,291.0210982999997,None,primary,22,12,sing,yellow,289.007440399997,None,None,289.007440399997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,293.5238516999998,None,message,14,13,sing,yellow,291.52163729999666,None,None,291.52163729999666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,296.02615539999897,None,guard,77,14,sing,red,294.0239853999992,None,None,294.0239853999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,298.5451308999982,None,suggestion,23,15,sing,yellow,296.5303279999971,None,None,296.5303279999971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,301.06428519999827,None,meeting,7,16,sing,yellow,299.05509379999785,None,None,299.05509379999785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,303.56698969999707,None,society,75,17,sing,red,301.56480759999977,None,None,301.56480759999977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,306.06946609999795,None,course,65,18,sing,red,304.06945209999685,None,None,304.06945209999685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,308.572063399999,None,fight,62,19,sing,red,306.5711737999991,None,None,306.5711737999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,311.09124959999826,None,candidate,48,20,sing,blue,309.07853799999793,None,None,309.07853799999793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,313.6102097999974,None,suspect,64,21,sing,red,311.5949931999967,None,None,311.5949931999967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,316.1295312000002,None,detective,27,22,sing,yellow,314.11637379999956,None,None,314.11637379999956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177 Sing,001,2022_Dec_01_1501,ProdSingRedoBetween,2021.2.3,59.99692815789722,
