StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,65.8353285,None,a,96.9069571,65.8353285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
,,,,,,,,,,,,,,SilentTest,162.7837608,None,space,10.7341344,162.7837608,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
0,0,0,0,,,,,,,,,,,,,,,,,,162.7837608,None,162.7837608,None,162.7837608,None,162.7837608,None,176.0556066,None,medicine,23,1,silent,yellow,174.0418225,None,None,174.0418225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,178.5579736,None,angle,4,2,silent,yellow,176.5584095,None,None,176.5584095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,181.0604839,None,story,24,3,silent,yellow,179.0585476,None,None,179.0585476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,183.5646498,None,concern,28,4,silent,yellow,181.5609957,None,None,181.5609957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,186.0822283,None,account,32,5,silent,blue,184.080333,None,None,184.080333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,188.6010005,None,emergency,35,6,silent,blue,186.5957195,None,None,186.5957195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,191.1039742,None,fellow,20,7,silent,yellow,189.1021068,None,None,189.1021068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,193.6230569,None,interview,68,8,silent,red,191.6076662,None,None,191.6076662,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Silent2,22,2022_Aug_08_1513,ProdSingRedoBetween,2021.2.3,59.90064878
