StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,53.8884687,None,b,296.3515313,53.8884687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
,,,,,,,,,,,,,,AloudTest,350.2879467,None,space,11.047813,350.2879467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
0,0,0,0,,,,,,,,,,,,,,,,,,350.2879467,None,350.2879467,None,350.2879467,None,350.2879467,None,363.8757287,None,state,68,1,aloud,red,361.8605285,None,None,361.8605285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,366.3782311,None,treatment,6,2,aloud,yellow,364.3759911,None,None,364.3759911,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,368.8807247,None,order,24,3,aloud,yellow,366.8790307,None,None,366.8790307,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,371.3999727,None,grade,82,4,aloud,red,369.389796,None,None,369.389796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,373.9025159,None,empty,14,5,aloud,yellow,371.900458,None,None,371.900458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,376.4047566,None,store,3,6,aloud,yellow,374.4059796,None,None,374.4059796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,378.9240091,None,commercial,37,7,aloud,blue,376.9093011,None,None,376.9093011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,381.4432903,None,fashion,44,8,aloud,blue,379.428091,None,None,379.428091,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Aloud2,23,2022_Aug_08_1534,ProdSingRedoBetween,2021.2.3,60.06547136
