StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,54.7714887,None,c,2272.364074,54.7714887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Sing1,24,2022_Aug_10_1337,ProdSingRedoBetween,2021.2.3,59.92322636
,,,,,,,,,,,,,,SingTest,2327.188303,None,space,32.0511183,2327.188303,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Sing1,24,2022_Aug_10_1337,ProdSingRedoBetween,2021.2.3,59.92322636
0,0,0,0,,,,,,,,,,,,,,,,,,2327.188303,None,2327.188303,None,2327.188303,None,2327.188303,None,2361.7884,None,territory,11,1,sing,yellow,2359.774333,None,None,2359.774333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Sing1,24,2022_Aug_10_1337,ProdSingRedoBetween,2021.2.3,59.92322636
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2364.307764,None,shear,67,2,sing,red,2362.293977,None,None,2362.293977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Sing1,24,2022_Aug_10_1337,ProdSingRedoBetween,2021.2.3,59.92322636
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,2366.826868,None,subject,64,3,sing,red,2364.818673,None,None,2364.818673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Sing1,24,2022_Aug_10_1337,ProdSingRedoBetween,2021.2.3,59.92322636
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,2369.329271,None,business,27,4,sing,yellow,2367.327368,None,None,2367.327368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Sing1,24,2022_Aug_10_1337,ProdSingRedoBetween,2021.2.3,59.92322636
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,2371.831805,None,society,42,5,sing,blue,2369.829804,None,None,2369.829804,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Sing1,24,2022_Aug_10_1337,ProdSingRedoBetween,2021.2.3,59.92322636
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,2374.350802,None,owner,23,6,sing,yellow,2372.340376,None,None,2372.340376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Sing1,24,2022_Aug_10_1337,ProdSingRedoBetween,2021.2.3,59.92322636
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,2376.853291,None,threat,12,7,sing,yellow,2374.85155,None,None,2374.85155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Sing1,24,2022_Aug_10_1337,ProdSingRedoBetween,2021.2.3,59.92322636
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,2379.372886,None,quarter,37,8,sing,blue,2377.371581,None,None,2377.371581,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Sing1,24,2022_Aug_10_1337,ProdSingRedoBetween,2021.2.3,59.92322636
