StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,84.8956922,None,a,376.5561776,84.8956922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
,,,,,,,,,,,,,,SilentTest,461.5058645,None,space,11.5858994,461.5058645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
0,0,0,0,,,,,,,,,,,,,,,,,,461.5058645,None,461.5058645,None,461.5058645,None,461.5058645,None,475.6102059,None,community,61,1,silent,red,473.6103742,None,None,473.6103742,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,478.1126273,None,property,67,2,silent,red,476.1117357,None,None,476.1117357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,480.6317169,None,message,79,3,silent,red,478.6164258,None,None,478.6164258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,483.1342577,None,detective,30,4,silent,blue,481.1346362,None,None,481.1346362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,485.6367354,None,surface,0,5,silent,yellow,483.634721,None,None,483.634721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,488.139413,None,broke,88,6,silent,red,486.1372453,None,None,486.1372453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,490.6585104,None,close,68,7,silent,red,488.6447223,None,None,488.6447223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,493.1610049,None,guest,21,8,silent,yellow,491.1590834,None,None,491.1590834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,495.6635314,None,shear,38,9,silent,blue,493.6622263,None,None,493.6622263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,498.1660471,None,second,40,10,silent,blue,496.1664532,None,None,496.1664532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,500.6850753,None,waste,47,11,silent,blue,498.6726733,None,None,498.6726733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,503.1876882,None,poetry,13,12,silent,yellow,501.1856715,None,None,501.1856715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,505.70683,None,religion,44,13,silent,blue,503.69219,None,None,503.69219,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,508.2093008,None,guard,84,14,silent,red,506.20741,None,None,506.20741,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,510.7119032,None,owner,15,15,silent,yellow,508.7111744,None,None,508.7111744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,513.2142784,None,substance,27,16,silent,yellow,511.2139501,None,None,511.2139501,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,515.7170308,None,instrument,52,17,silent,blue,513.7164774,None,None,513.7164774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,518.2192621,None,production,69,18,silent,red,516.219396,None,None,516.219396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,520.7386365,None,company,16,19,silent,yellow,518.7257671,None,None,518.7257671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,523.2411557,None,appeal,83,20,silent,red,521.2419512,None,None,521.2419512,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,525.743607,None,match,22,21,silent,yellow,523.7433045,None,None,523.7433045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,528.2627582,None,candidate,20,22,silent,yellow,526.2478664,None,None,526.2478664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,530.7650951,None,notice,14,23,silent,yellow,528.7632773,None,None,528.7632773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,533.2842361,None,worker,41,24,silent,blue,531.2728436,None,None,531.2728436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,535.8036922,None,rural,53,25,silent,blue,533.7882888,None,None,533.7882888,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August10Silent3,25,2022_Aug_10_1435,ProdSingRedoBetween,2021.2.3,59.93982042
