StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.896291699999892,None,a,10.76250529999993,19.896291699999892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28silent,001,2022_Aug_26_1126,ProdSingRedoBetween,2021.2.3,59.880203664550265,
,,,,,,,,,,,,,,SilentTest,30.696291499999916,None,space,186.30650009999977,30.696291499999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28silent,001,2022_Aug_26_1126,ProdSingRedoBetween,2021.2.3,59.880203664550265,
0,0,0,0,,,,,,,,,,,,,,,,,,30.696291499999916,None,30.696291499999916,None,30.696291499999916,None,30.696291499999916,None,219.5191314000001,None,reading,51,1,silent,blue,217.51757620000012,None,None,217.51757620000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28silent,001,2022_Aug_26_1126,ProdSingRedoBetween,2021.2.3,59.880203664550265,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,222.0221650000001,None,member,38,2,silent,blue,220.02003649999983,None,None,220.02003649999983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28silent,001,2022_Aug_26_1126,ProdSingRedoBetween,2021.2.3,59.880203664550265,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,224.54124279999974,None,school,0,3,silent,yellow,222.53214449999973,None,None,222.53214449999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28silent,001,2022_Aug_26_1126,ProdSingRedoBetween,2021.2.3,59.880203664550265,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,227.0605939999998,None,service,6,4,silent,yellow,225.0483842000001,None,None,225.0483842000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28silent,001,2022_Aug_26_1126,ProdSingRedoBetween,2021.2.3,59.880203664550265,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,229.56293709999977,None,graduate,77,5,silent,red,227.56089279999992,None,None,227.56089279999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28silent,001,2022_Aug_26_1126,ProdSingRedoBetween,2021.2.3,59.880203664550265,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,232.08193199999982,None,atmosphere,28,6,silent,yellow,230.0715244999999,None,None,230.0715244999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28silent,001,2022_Aug_26_1126,ProdSingRedoBetween,2021.2.3,59.880203664550265,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,234.5847311,None,dispute,65,7,silent,red,232.58263039999997,None,None,232.58263039999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28silent,001,2022_Aug_26_1126,ProdSingRedoBetween,2021.2.3,59.880203664550265,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,237.10379940000007,None,bucket,4,8,silent,yellow,235.09050009999987,None,None,235.09050009999987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28silent,001,2022_Aug_26_1126,ProdSingRedoBetween,2021.2.3,59.880203664550265,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,239.6060369999998,None,pressure,67,9,silent,red,237.60728259999973,None,None,237.60728259999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28silent,001,2022_Aug_26_1126,ProdSingRedoBetween,2021.2.3,59.880203664550265,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,242.12546940000016,None,portion,64,10,silent,red,240.12008379999975,None,None,240.12008379999975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28silent,001,2022_Aug_26_1126,ProdSingRedoBetween,2021.2.3,59.880203664550265,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,244.62805959999992,None,colonel,53,11,silent,blue,242.62689419999992,None,None,242.62689419999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28silent,001,2022_Aug_26_1126,ProdSingRedoBetween,2021.2.3,59.880203664550265,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,247.1471570000001,None,stranger,81,12,silent,red,245.13238449999994,None,None,245.13238449999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28silent,001,2022_Aug_26_1126,ProdSingRedoBetween,2021.2.3,59.880203664550265,
