StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.573667499993462,None,b,4.224543399992399,21.573667499993462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Aloud,001,2022_Jun_24_1332,ProdSingRedoBetween,2021.2.3,60.02941441341143,
,,,,,,,,,,,,,,AloudTest,25.857454799988773,None,space,165.65288049998344,25.857454799988773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Aloud,001,2022_Jun_24_1332,ProdSingRedoBetween,2021.2.3,60.02941441341143,
0,0,0,0,,,,,,,,,,,,,,,,,,25.857454799988773,None,25.857454799988773,None,25.857454799988773,None,25.857454799988773,None,194.0618400000094,None,goose,84,1,aloud,red,192.05443019999075,None,None,192.05443019999075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Aloud,001,2022_Jun_24_1332,ProdSingRedoBetween,2021.2.3,60.02941441341143,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,196.5810097999929,None,quick,47,2,aloud,blue,194.58273560000816,None,None,194.58273560000816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Aloud,001,2022_Jun_24_1332,ProdSingRedoBetween,2021.2.3,60.02941441341143,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,199.10021929998766,None,symbol,55,3,aloud,blue,197.0897479999985,None,None,197.0897479999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Aloud,001,2022_Jun_24_1332,ProdSingRedoBetween,2021.2.3,60.02941441341143,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,201.6193987999868,None,service,22,4,aloud,yellow,199.61389939999208,None,None,199.61389939999208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Aloud,001,2022_Jun_24_1332,ProdSingRedoBetween,2021.2.3,60.02941441341143,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,204.13860450001084,None,nation,20,5,aloud,yellow,202.12618439999642,None,None,202.12618439999642,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Aloud,001,2022_Jun_24_1332,ProdSingRedoBetween,2021.2.3,60.02941441341143,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,206.6577477999963,None,report,30,6,aloud,blue,204.64716230001068,None,None,204.64716230001068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Aloud,001,2022_Jun_24_1332,ProdSingRedoBetween,2021.2.3,60.02941441341143,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,209.17692050000187,None,carry,19,7,aloud,yellow,207.17240569999558,None,None,207.17240569999558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Aloud,001,2022_Jun_24_1332,ProdSingRedoBetween,2021.2.3,60.02941441341143,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,211.69586919998983,None,revolution,46,8,aloud,blue,209.6875926000066,None,None,209.6875926000066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2Aloud,001,2022_Jun_24_1332,ProdSingRedoBetween,2021.2.3,60.02941441341143,
