StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,309.3506473999587,None,b,213.63074649998453,309.3506473999587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
,,,,,,,,,,,,,,AloudTest,523.0284515999956,None,space,2.9607175999553874,523.0284515999956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
0,0,0,0,,,,,,,,,,,,,,,,,,523.0284515999956,None,523.0284515999956,None,523.0284515999956,None,523.0284515999956,None,528.5283942999667,None,research,7,1,aloud,yellow,526.523391900002,None,None,526.523391900002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,531.0309096999699,None,universal,88,2,aloud,red,529.0315358999651,None,None,529.0315358999651,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,533.5333448000019,None,problem,64,3,aloud,red,531.5336874999921,None,None,531.5336874999921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,536.0357799999765,None,husband,77,4,aloud,red,534.033824299986,None,None,534.033824299986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,538.5550203999737,None,judge,54,5,aloud,blue,536.5393885999802,None,None,536.5393885999802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,541.0741653000005,None,private,4,6,aloud,yellow,539.06017349998,None,None,539.06017349998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,543.5766287999577,None,center,76,7,aloud,red,541.5768346999539,None,None,541.5768346999539,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,546.0958093999652,None,general,12,8,aloud,yellow,544.080186599982,None,None,544.080186599982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,548.6149207999697,None,childhood,33,9,aloud,blue,546.5999303999706,None,None,546.5999303999706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,551.1175712999539,None,salary,25,10,aloud,yellow,549.1155043999897,None,None,549.1155043999897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,553.6200507999747,None,grade,44,11,aloud,blue,551.6183378999704,None,None,551.6183378999704,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,556.1392378999735,None,welcome,42,12,aloud,blue,554.1262345999712,None,None,554.1262345999712,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,558.6418089999934,None,angle,74,13,aloud,red,556.6411996999523,None,None,556.6411996999523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,561.1441772999824,None,motion,60,14,aloud,red,559.1419434999698,None,None,559.1419434999698,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,563.6467453999794,None,front,19,15,aloud,yellow,561.6448039999814,None,None,561.6448039999814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,566.1491842999822,None,ground,50,16,aloud,blue,564.1499142999528,None,None,564.1499142999528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,568.6516567000072,None,waste,72,17,aloud,red,566.6519836999942,None,None,566.6519836999942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,571.154242199962,None,state,45,18,aloud,blue,569.1530029999558,None,None,569.1530029999558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,573.656683499983,None,conference,57,19,aloud,blue,571.6563478999888,None,None,571.6563478999888,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,576.1589223999763,None,union,21,20,aloud,yellow,574.1577046999591,None,None,574.1577046999591,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 Aloud,001,2022_Aug_30_1126,ProdSingRedoBetween,2021.2.3,59.95232591034925,
