StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,59.3093499999959,None,c,177.43090500001563,59.3093499999959,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
,,,,,,,,,,,,,,SingTest,236.7839490000042,None,space,13.772100800008047,236.7839490000042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
0,0,0,0,,,,,,,,,,,,,,,,,,236.7839490000042,None,236.7839490000042,None,236.7839490000042,None,236.7839490000042,None,253.08827539999038,None,position,70,1,sing,red,251.08638270001393,None,space,1.8858186000143178,251.08638270001393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,255.60764349997044,None,oxygen,50,2,sing,blue,253.5938739000121,None,None,,253.5938739000121,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,258.1266177999787,None,level,54,3,sing,blue,256.1160048999591,None,None,,256.1160048999591,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,260.62916670000413,None,council,37,4,sing,blue,258.626834900002,None,None,,258.626834900002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,263.1483939999598,None,testimony,47,5,sing,blue,261.1384904999868,None,None,,261.1384904999868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,265.6508387000067,None,match,89,6,sing,red,263.6489197000046,None,None,,263.6489197000046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,268.1700656999601,None,trail,88,7,sing,red,266.1551319999853,None,None,,266.1551319999853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,270.67235399998026,None,pattern,57,8,sing,blue,268.6705292999977,None,None,,268.6705292999977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,273.17503370001214,None,smell,80,9,sing,red,271.1740968999802,None,None,,271.1740968999802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,275.69383939995896,None,finish,45,10,sing,blue,273.68001539999386,None,None,,273.68001539999386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,278.1964850999648,None,sweet,74,11,sing,red,276.1947571999626,None,None,,276.1947571999626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,280.6991790999891,None,piece,41,12,sing,blue,278.6969061999698,None,None,,278.6969061999698,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,283.2017462999793,None,watch,61,13,sing,red,281.2002085999702,None,None,,281.2002085999702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,285.7208832000033,None,music,67,14,sing,red,283.70935710001504,None,None,,283.70935710001504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,288.2399280999671,None,platform,1,15,sing,yellow,286.23173459997633,None,None,,286.23173459997633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,290.7425566999591,None,owner,19,16,sing,yellow,288.74036619998515,None,None,,288.74036619998515,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,293.2450518999831,None,property,4,17,sing,yellow,291.24319349997677,None,None,,291.24319349997677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,295.7475821999833,None,angle,39,18,sing,blue,293.7459871000028,None,None,,293.7459871000028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,298.2666929999832,None,equipment,46,19,sing,blue,296.26050029997714,None,None,,296.26050029997714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,300.7692284999648,None,stand,83,20,sing,red,298.76720199995907,None,None,,298.76720199995907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,303.2883631999721,None,fashion,16,21,sing,yellow,301.2731003999943,None,None,,301.2731003999943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,305.8076548000099,None,brief,52,22,sing,blue,303.7945591000025,None,None,,303.7945591000025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,308.31001889996696,None,object,40,23,sing,blue,306.30791889998363,None,None,,306.30791889998363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,310.8126047999831,None,title,59,24,sing,yellow,308.81054109998513,None,None,,308.81054109998513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,313.31511269998737,None,direction,55,25,sing,blue,311.3149441999849,None,None,,311.3149441999849,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,315.81752509996295,None,rural,73,26,sing,red,313.8184016000014,None,None,,313.8184016000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,318.3364523999626,None,addition,85,27,sing,red,316.323874099995,None,None,,316.323874099995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,320.83924469997874,None,quantity,82,28,sing,red,318.83724319998873,None,None,,318.83724319998873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,323.3582184999832,None,empty,48,29,sing,blue,321.3435864999774,None,None,,321.3435864999774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,325.8609727000003,None,permit,25,30,sing,yellow,323.8585909999674,None,None,,323.8585909999674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,328.380196699989,None,dance,2,31,sing,yellow,326.3714534000028,None,None,,326.3714534000028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,330.89931499998784,None,dozen,36,32,sing,blue,328.8841994999675,None,None,,328.8841994999675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,333.4185043000034,None,review,8,33,sing,yellow,331.40307840000605,None,None,,331.40307840000605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,335.9209921999718,None,country,60,34,sing,red,333.91906069999095,None,None,,333.91906069999095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,338.4236518999678,None,novel,68,35,sing,red,336.42207309999503,None,None,,336.42207309999503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,340.942613399995,None,universal,56,36,sing,blue,338.9269099999801,None,None,,338.9269099999801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,343.4451364999986,None,command,31,37,sing,blue,341.44323889998486,None,None,,341.44323889998486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,345.9473944999627,None,election,30,38,sing,blue,343.9471732999664,None,None,,343.9471732999664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,348.4665008999873,None,disease,72,39,sing,red,346.45391290000407,None,None,,346.45391290000407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,350.96927120001055,None,generation,71,40,sing,red,348.9672487999778,None,None,,348.9672487999778,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,353.4884812000091,None,subject,53,41,sing,blue,351.47313449997455,None,None,,351.47313449997455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,356.0077112999861,None,collection,33,42,sing,blue,353.99412369995844,None,None,,353.99412369995844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,358.5103466999717,None,guard,24,43,sing,yellow,356.5090781999752,None,None,,356.5090781999752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,361.01263169996673,None,place,9,44,sing,yellow,359.0115086999722,None,None,,359.0115086999722,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,363.51512140000705,None,evidence,18,45,sing,yellow,361.51296339998953,None,None,,361.51296339998953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,366.01761579996673,None,danger,34,46,sing,blue,364.01568879996194,None,None,,364.01568879996194,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,368.5201148999622,None,entrance,75,47,sing,red,366.5180466999882,None,None,,366.5180466999882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,371.0226152999676,None,color,0,48,sing,yellow,369.0206490000128,None,None,,369.0206490000128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 Sing,001,2022_Aug_30_1156,ProdSingRedoBetween,2021.2.3,59.966814349603034,
