StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,80.5840194,None,c,208.190712,80.5840194,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Sing2,39,2022_Sep_02_1355,ProdSingRedoBetween,2021.2.3,59.98195743
,,,,,,,,,,,,,,SingTest,288.8334388,None,space,5.8049738,288.8334388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Sing2,39,2022_Sep_02_1355,ProdSingRedoBetween,2021.2.3,59.98195743
0,0,0,0,,,,,,,,,,,,,,,,,,288.8334388,None,288.8334388,None,288.8334388,None,288.8334388,None,297.1729515,None,interview,25,1,sing,yellow,295.1732884,None,None,295.1732884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Sing2,39,2022_Sep_02_1355,ProdSingRedoBetween,2021.2.3,59.98195743
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,299.6752653,None,captain,21,2,sing,yellow,297.6746188,None,None,297.6746188,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Sing2,39,2022_Sep_02_1355,ProdSingRedoBetween,2021.2.3,59.98195743
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,302.1947109,None,harmony,54,3,sing,blue,300.1795493,None,None,300.1795493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Sing2,39,2022_Sep_02_1355,ProdSingRedoBetween,2021.2.3,59.98195743
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,304.69704,None,youth,34,4,sing,blue,302.6951717,None,None,302.6951717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Sing2,39,2022_Sep_02_1355,ProdSingRedoBetween,2021.2.3,59.98195743
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,307.2164748,None,breath,47,5,sing,blue,305.2049038,None,None,305.2049038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Sing2,39,2022_Sep_02_1355,ProdSingRedoBetween,2021.2.3,59.98195743
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,309.7353576,None,question,31,6,sing,blue,307.7212651,None,None,307.7212651,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Sing2,39,2022_Sep_02_1355,ProdSingRedoBetween,2021.2.3,59.98195743
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,312.2377474,None,crisis,3,7,sing,yellow,310.235982,None,None,310.235982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Sing2,39,2022_Sep_02_1355,ProdSingRedoBetween,2021.2.3,59.98195743
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,314.740515,None,public,29,8,sing,blue,312.7397375,None,None,312.7397375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Sing2,39,2022_Sep_02_1355,ProdSingRedoBetween,2021.2.3,59.98195743
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,317.2430533,None,drink,26,9,sing,yellow,315.2410128,None,None,315.2410128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Sing2,39,2022_Sep_02_1355,ProdSingRedoBetween,2021.2.3,59.98195743
