StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,29.216088,None,a,156.4429265,29.216088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
,,,,,,,,,,,,,,SilentTest,185.7083292,None,space,16.5344259,185.7083292,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
0,0,0,0,,,,,,,,,,,,,,,,,,185.7083292,None,185.7083292,None,185.7083292,None,185.7083292,None,204.7713502,None,order,73,1,silent,red,202.7690081,None,None,202.7690081,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,207.2902088,None,quiet,58,2,silent,blue,205.2744517,None,None,205.2744517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,209.8095076,None,place,38,3,silent,blue,207.7945168,None,None,207.7945168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,212.3121349,None,rural,48,4,silent,blue,210.3099728,None,None,210.3099728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,214.8313115,None,course,60,5,silent,red,212.8179628,None,None,212.8179628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,217.3337651,None,safety,66,6,silent,red,215.3331348,None,None,215.3331348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,219.8361112,None,break,53,7,silent,blue,217.8364866,None,None,217.8364866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,222.3553533,None,store,23,8,silent,yellow,220.3487811,None,None,220.3487811,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Silent5,40,2022_Sep_02_1418,ProdSingRedoBetween,2021.2.3,59.98220928
