StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,68.2905324,None,b,56.9954903,68.2905324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
,,,,,,,,,,,,,,AloudTest,125.3267645,None,space,13.6791677,125.3267645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
0,0,0,0,,,,,,,,,,,,,,,,,,125.3267645,None,125.3267645,None,125.3267645,None,125.3267645,None,141.5312641,None,discussion,64,1,aloud,red,139.5307014,None,None,139.5307014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,144.0503584,None,nation,71,2,aloud,red,142.0403532,None,None,142.0403532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,146.5529037,None,discovery,2,3,aloud,yellow,144.5530612,None,None,144.5530612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,149.0720427,None,strength,34,4,aloud,blue,147.0581767,None,None,147.0581767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,151.5744157,None,appearance,84,5,aloud,red,149.5727071,None,None,149.5727071,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,154.093761,None,express,16,6,aloud,yellow,152.0813163,None,None,152.0813163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,156.5963114,None,engineer,17,7,aloud,yellow,154.5944412,None,None,154.5944412,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,159.0989967,None,edition,48,8,aloud,blue,157.0971141,None,None,157.0971141,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,161.6181083,None,whole,54,9,aloud,blue,159.6042084,None,None,159.6042084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,164.1202292,None,swift,65,10,aloud,red,162.1184962,None,None,162.1184962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,166.6397725,None,little,8,11,aloud,yellow,164.6247182,None,None,164.6247182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep02Aloud5,41,2022_Sep_02_1439,ProdSingRedoBetween,2021.2.3,59.93877853
