StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,60.746560400002636,None,c,183.92068630002905,60.746560400002636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 sing,001,2022_Sep_15_1056,ProdSingRedoBetween,2021.2.3,59.94495852472344,
,,,,,,,,,,,,,,SingTest,244.74292340001557,None,space,3.043310399982147,244.74292340001557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 sing,001,2022_Sep_15_1056,ProdSingRedoBetween,2021.2.3,59.94495852472344,
0,0,0,0,,,,,,,,,,,,,,,,,,244.74292340001557,None,244.74292340001557,None,244.74292340001557,None,244.74292340001557,None,250.30382949998602,None,throw,5,1,sing,yellow,248.30321260006167,None,None,248.30321260006167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 sing,001,2022_Sep_15_1056,ProdSingRedoBetween,2021.2.3,59.94495852472344,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,252.82309309998527,None,hearing,11,2,sing,yellow,250.80823059997056,None,None,250.80823059997056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 sing,001,2022_Sep_15_1056,ProdSingRedoBetween,2021.2.3,59.94495852472344,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,255.32828710007016,None,marriage,58,3,sing,blue,253.32547510007862,None,None,253.32547510007862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 sing,001,2022_Sep_15_1056,ProdSingRedoBetween,2021.2.3,59.94495852472344,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,257.84499670006335,None,clean,0,4,sing,yellow,255.84296080004424,None,None,255.84296080004424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 sing,001,2022_Sep_15_1056,ProdSingRedoBetween,2021.2.3,59.94495852472344,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,260.3471097999718,None,evidence,61,5,sing,red,258.34661990008317,None,None,258.34661990008317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 sing,001,2022_Sep_15_1056,ProdSingRedoBetween,2021.2.3,59.94495852472344,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,262.8497613000218,None,passage,43,6,sing,blue,260.8493370000506,None,None,260.8493370000506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 sing,001,2022_Sep_15_1056,ProdSingRedoBetween,2021.2.3,59.94495852472344,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,265.3521604000125,None,threat,51,7,sing,blue,263.35120540007483,None,None,263.35120540007483,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 sing,001,2022_Sep_15_1056,ProdSingRedoBetween,2021.2.3,59.94495852472344,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,267.8713078000583,None,trail,26,8,sing,yellow,265.85662430000957,None,None,265.85662430000957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 sing,001,2022_Sep_15_1056,ProdSingRedoBetween,2021.2.3,59.94495852472344,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,270.391699800035,None,school,14,9,sing,yellow,268.3867433000123,None,None,268.3867433000123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42 sing,001,2022_Sep_15_1056,ProdSingRedoBetween,2021.2.3,59.94495852472344,
