StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,50.50165200000629,None,a,4.4412791000067955,50.50165200000629,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47aloud,001,2022_Sep_06_1553,ProdSingRedoBetween,2021.2.3,59.96778530303226,
,,,,,,,,,,,,,,SilentTest,54.976970500007155,None,space,471.64624850000837,54.976970500007155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47aloud,001,2022_Sep_06_1553,ProdSingRedoBetween,2021.2.3,59.96778530303226,
0,0,0,0,,,,,,,,,,,,,,,,,,54.976970500007155,None,54.976970500007155,None,54.976970500007155,None,54.976970500007155,None,529.1725833999953,None,series,69,1,silent,red,527.1613069000014,None,None,527.1613069000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47aloud,001,2022_Sep_06_1553,ProdSingRedoBetween,2021.2.3,59.96778530303226,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,531.6752724999969,None,blind,77,2,silent,red,529.6753093000007,None,None,529.6753093000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47aloud,001,2022_Sep_06_1553,ProdSingRedoBetween,2021.2.3,59.96778530303226,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,534.1943456000008,None,count,50,3,silent,blue,532.1790612000041,None,None,532.1790612000041,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47aloud,001,2022_Sep_06_1553,ProdSingRedoBetween,2021.2.3,59.96778530303226,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,536.6969508000038,None,audience,65,4,silent,red,534.6955659999949,None,None,534.6955659999949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47aloud,001,2022_Sep_06_1553,ProdSingRedoBetween,2021.2.3,59.96778530303226,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,539.1993442999956,None,close,82,5,silent,red,537.1999397000036,None,None,537.1999397000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47aloud,001,2022_Sep_06_1553,ProdSingRedoBetween,2021.2.3,59.96778530303226,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,541.7018449000025,None,payment,16,6,silent,yellow,539.7002697999997,None,None,539.7002697999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47aloud,001,2022_Sep_06_1553,ProdSingRedoBetween,2021.2.3,59.96778530303226,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,544.2207249000057,None,majority,47,7,silent,blue,542.205952999997,None,None,542.205952999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47aloud,001,2022_Sep_06_1553,ProdSingRedoBetween,2021.2.3,59.96778530303226,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,546.7234929999977,None,touch,72,8,silent,red,544.7215266999992,None,None,544.7215266999992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47aloud,001,2022_Sep_06_1553,ProdSingRedoBetween,2021.2.3,59.96778530303226,
