StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,30.5221796000842,None,b,1.1782265999354422,30.5221796000842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
,,,,,,,,,,,,,,AloudTest,31.74537630006671,None,space,546.5437161999289,31.74537630006671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
0,0,0,0,,,,,,,,,,,,,,,,,,31.74537630006671,None,31.74537630006671,None,31.74537630006671,None,31.74537630006671,None,580.8321991000557,None,symbol,40,1,aloud,blue,578.8209115000209,None,None,578.8209115000209,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,583.3513460000977,None,cross,77,2,aloud,red,581.3358490000246,None,None,581.3358490000246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,585.8704711000901,None,people,19,3,aloud,yellow,583.8555683000013,None,None,583.8555683000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,588.3729505001102,None,state,87,4,aloud,red,586.3723505000817,None,None,586.3723505000817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,590.8922541000647,None,research,85,5,aloud,red,588.8808806000743,None,None,588.8808806000743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,593.4113348000683,None,emergency,66,6,aloud,red,591.4029340000125,None,None,591.4029340000125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,595.9136757000815,None,group,44,7,aloud,blue,593.9117743000388,None,None,593.9117743000388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,598.4165114000207,None,order,11,8,aloud,yellow,596.4170106000965,None,None,596.4170106000965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,600.9352322000777,None,institute,79,9,aloud,red,598.9206697000191,None,None,598.9206697000191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,603.454668499995,None,member,42,10,aloud,blue,601.4395919000963,None,None,601.4395919000963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,605.957278600079,None,session,5,11,aloud,yellow,603.9552361000096,None,None,603.9552361000096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,608.4596057001036,None,sleep,17,12,aloud,yellow,606.4593810000224,None,None,606.4593810000224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,610.979015900055,None,school,47,13,aloud,blue,608.969735700055,None,None,608.969735700055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,613.4979797000997,None,drove,4,14,aloud,yellow,611.4824242000468,None,None,611.4824242000468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,616.0005416000495,None,title,25,15,aloud,yellow,613.9985238000518,None,None,613.9985238000518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,618.5029845000245,None,debate,82,16,aloud,red,616.5009282000829,None,None,616.5009282000829,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,621.0054277000017,None,literature,68,17,aloud,red,619.0035751000978,None,None,619.0035751000978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,623.5081655000104,None,second,0,18,aloud,yellow,621.507290000096,None,None,621.507290000096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,626.010738800047,None,court,39,19,aloud,blue,624.0094503000146,None,None,624.0094503000146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,628.5297761000693,None,rural,18,20,aloud,yellow,626.514642800088,None,None,626.514642800088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,631.0322379000718,None,engineer,54,21,aloud,blue,629.0302707001101,None,None,629.0302707001101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,633.5347954001045,None,carry,69,22,aloud,red,631.5337652000599,None,None,631.5337652000599,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,636.0536580000771,None,beauty,12,23,aloud,yellow,634.0419760000659,None,None,634.0419760000659,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,638.5731356000761,None,object,38,24,aloud,blue,636.5632034000009,None,None,636.5632034000009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,641.0923078000778,None,center,46,25,aloud,blue,639.0768566000042,None,None,639.0768566000042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,643.5948398000328,None,oxygen,56,26,aloud,blue,641.5943352000322,None,None,641.5943352000322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,646.1141751999967,None,travel,2,27,aloud,yellow,644.1015485000098,None,None,644.1015485000098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,648.6166892000474,None,capital,72,28,aloud,red,646.6167311000172,None,None,646.6167311000172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,651.1191532000666,None,career,81,29,aloud,red,649.1170020001009,None,None,649.1170020001009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,653.6211545000551,None,mechanical,84,30,aloud,red,651.6206938000396,None,None,651.6206938000396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,656.124029800063,None,piece,80,31,aloud,red,654.1217637000373,None,None,654.1217637000373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,658.6265333000338,None,master,64,32,aloud,red,656.6266235000221,None,None,656.6266235000221,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50Aloud,001,2022_Sep_12_1207,ProdSingRedoBetween,2021.2.3,59.86159995843357,
