StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,85.84243950000382,None,a,98.9761986000085,85.84243950000382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52 silent,001,2022_Sep_20_1057,ProdSingRedoBetween,2021.2.3,59.8890256393178,
,,,,,,,,,,,,,,SilentTest,184.88466920000792,None,space,7.862054600002011,184.88466920000792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52 silent,001,2022_Sep_20_1057,ProdSingRedoBetween,2021.2.3,59.8890256393178,
0,0,0,0,,,,,,,,,,,,,,,,,,184.88466920000792,None,184.88466920000792,None,184.88466920000792,None,184.88466920000792,None,195.26842910000414,None,season,40,1,silent,blue,193.26872300000105,None,None,193.26872300000105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52 silent,001,2022_Sep_20_1057,ProdSingRedoBetween,2021.2.3,59.8890256393178,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,197.78793760000553,None,message,1,2,silent,yellow,195.77499950000492,None,None,195.77499950000492,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52 silent,001,2022_Sep_20_1057,ProdSingRedoBetween,2021.2.3,59.8890256393178,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,200.2900088000024,None,carry,27,3,silent,yellow,198.28850500000408,None,None,198.28850500000408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52 silent,001,2022_Sep_20_1057,ProdSingRedoBetween,2021.2.3,59.8890256393178,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,202.7930398000026,None,profession,58,4,silent,blue,200.79222560000198,None,None,200.79222560000198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52 silent,001,2022_Sep_20_1057,ProdSingRedoBetween,2021.2.3,59.8890256393178,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,205.2950351000036,None,sight,82,5,silent,red,203.29543290000584,None,None,203.29543290000584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52 silent,001,2022_Sep_20_1057,ProdSingRedoBetween,2021.2.3,59.8890256393178,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,207.79769070001203,None,testimony,28,6,silent,yellow,205.7984126000083,None,None,205.7984126000083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52 silent,001,2022_Sep_20_1057,ProdSingRedoBetween,2021.2.3,59.8890256393178,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,210.29999680000765,None,little,32,7,silent,blue,208.2987596000021,None,None,208.2987596000021,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52 silent,001,2022_Sep_20_1057,ProdSingRedoBetween,2021.2.3,59.8890256393178,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,212.80281350000587,None,burden,13,8,silent,yellow,210.803207200006,None,None,210.803207200006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52 silent,001,2022_Sep_20_1057,ProdSingRedoBetween,2021.2.3,59.8890256393178,
