StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,689.9710259999847,None,b,121.85882870000205,689.9710259999847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
,,,,,,,,,,,,,,AloudTest,811.8920111999905,None,space,11.489816199988127,811.8920111999905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
0,0,0,0,,,,,,,,,,,,,,,,,,811.8920111999905,None,811.8920111999905,None,811.8920111999905,None,811.8920111999905,None,825.9189742000017,None,appeal,45,1,aloud,blue,823.9115638999792,None,None,823.9115638999792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,828.4214261999878,None,strain,69,2,aloud,red,826.4218274999876,None,None,826.4218274999876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,830.9405689999985,None,track,3,3,aloud,yellow,828.9426488000026,None,None,828.9426488000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,833.4432585999893,None,touch,66,4,aloud,red,831.4432604999747,None,None,831.4432604999747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,835.9626738999796,None,foundation,10,5,aloud,yellow,833.9462323999905,None,None,833.9462323999905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,838.465152299992,None,block,70,6,aloud,red,836.46307659999,None,None,836.46307659999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,840.983846099989,None,signal,49,7,aloud,blue,838.9697324000008,None,None,838.9697324000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,843.4864407999848,None,broad,72,8,aloud,red,841.4869228999887,None,None,841.4869228999887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,845.9888470000005,None,permit,59,9,aloud,yellow,843.9895735000027,None,None,843.9895735000027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,848.4947027000017,None,skill,15,10,aloud,yellow,846.491641200002,None,None,846.491641200002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,851.0109033999906,None,childhood,19,11,aloud,yellow,849.0108877999883,None,None,849.0108877999883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,853.529905399977,None,measure,32,12,aloud,blue,851.526311900001,None,None,851.526311900001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,856.0322176999762,None,length,50,13,aloud,blue,854.0318787999859,None,None,854.0318787999859,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,858.5350416000001,None,corner,67,14,aloud,red,856.5345514999935,None,None,856.5345514999935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,861.0539660999784,None,mechanical,25,15,aloud,yellow,859.0409291999822,None,None,859.0409291999822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 aloud,001,2022_Sep_22_1053,ProdSingRedoBetween,2021.2.3,59.859055866988164,
