StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,79.04328759998316,None,c,5.061513099994045,79.04328759998316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 Sing,001,2022_Sep_22_1328,ProdSingRedoBetween,2021.2.3,59.756611322730976,
,,,,,,,,,,,,,,SingTest,84.16307059998508,None,space,1805.9946187000023,84.16307059998508,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 Sing,001,2022_Sep_22_1328,ProdSingRedoBetween,2021.2.3,59.756611322730976,
0,0,0,0,,,,,,,,,,,,,,,,,,84.16307059998508,None,84.16307059998508,None,84.16307059998508,None,84.16307059998508,None,1892.6924752999912,None,question,38,1,sing,blue,1890.687205299997,None,None,1890.687205299997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 Sing,001,2022_Sep_22_1328,ProdSingRedoBetween,2021.2.3,59.756611322730976,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1895.1949397999851,None,region,53,2,sing,blue,1893.1930019999854,None,None,1893.1930019999854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 Sing,001,2022_Sep_22_1328,ProdSingRedoBetween,2021.2.3,59.756611322730976,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,1897.697493899992,None,beginning,85,3,sing,red,1895.6951948999777,None,None,1895.6951948999777,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 Sing,001,2022_Sep_22_1328,ProdSingRedoBetween,2021.2.3,59.756611322730976,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,1900.1999673999962,None,guide,26,4,sing,yellow,1898.1990890999732,None,None,1898.1990890999732,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 Sing,001,2022_Sep_22_1328,ProdSingRedoBetween,2021.2.3,59.756611322730976,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,1902.719151999976,None,service,76,5,sing,red,1900.7084116999758,None,None,1900.7084116999758,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 Sing,001,2022_Sep_22_1328,ProdSingRedoBetween,2021.2.3,59.756611322730976,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,1905.2380678999762,None,judge,8,6,sing,yellow,1903.2365462000016,None,None,1903.2365462000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 Sing,001,2022_Sep_22_1328,ProdSingRedoBetween,2021.2.3,59.756611322730976,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,1907.7407974999805,None,account,65,7,sing,red,1905.7388127000013,None,None,1905.7388127000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 Sing,001,2022_Sep_22_1328,ProdSingRedoBetween,2021.2.3,59.756611322730976,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,1910.2433283999853,None,opening,40,8,sing,blue,1908.241052599973,None,None,1908.241052599973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 Sing,001,2022_Sep_22_1328,ProdSingRedoBetween,2021.2.3,59.756611322730976,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,1912.7458606,None,silence,87,9,sing,red,1910.7462752999854,None,None,1910.7462752999854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 Sing,001,2022_Sep_22_1328,ProdSingRedoBetween,2021.2.3,59.756611322730976,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,1915.2483300999738,None,meeting,78,10,sing,red,1913.2463319999806,None,None,1913.2463319999806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 Sing,001,2022_Sep_22_1328,ProdSingRedoBetween,2021.2.3,59.756611322730976,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,1917.7508656999853,None,native,80,11,sing,red,1915.750893599994,None,None,1915.750893599994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 Sing,001,2022_Sep_22_1328,ProdSingRedoBetween,2021.2.3,59.756611322730976,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,1920.2698433999904,None,symbol,43,12,sing,blue,1918.257128599973,None,None,1918.257128599973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 Sing,001,2022_Sep_22_1328,ProdSingRedoBetween,2021.2.3,59.756611322730976,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,1922.7723579999874,None,alert,79,13,sing,red,1920.7704670999956,None,None,1920.7704670999956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 Sing,001,2022_Sep_22_1328,ProdSingRedoBetween,2021.2.3,59.756611322730976,
