StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,36.847276699962094,None,a,3.6449635000899434,36.847276699962094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 silent,001,2022_Oct_13_1024,ProdSingRedoBetween,2021.2.3,59.94981008348772,
,,,,,,,,,,,,,,SilentTest,40.547145899850875,None,space,525.9682832001708,40.547145899850875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 silent,001,2022_Oct_13_1024,ProdSingRedoBetween,2021.2.3,59.94981008348772,
0,0,0,0,,,,,,,,,,,,,,,,,,40.547145899850875,None,40.547145899850875,None,40.547145899850875,None,40.547145899850875,None,569.0330918999389,None,symbol,45,1,silent,blue,567.0310895999428,None,None,567.0310895999428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 silent,001,2022_Oct_13_1024,ProdSingRedoBetween,2021.2.3,59.94981008348772,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,571.5522404999938,None,health,58,2,silent,blue,569.5378609998152,None,None,569.5378609998152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 silent,001,2022_Oct_13_1024,ProdSingRedoBetween,2021.2.3,59.94981008348772,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,574.0547171998769,None,clear,24,3,silent,yellow,572.0527086998336,None,None,572.0527086998336,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 silent,001,2022_Oct_13_1024,ProdSingRedoBetween,2021.2.3,59.94981008348772,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,576.5572366998531,None,burden,8,4,silent,yellow,574.5552470998373,None,None,574.5552470998373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 silent,001,2022_Oct_13_1024,ProdSingRedoBetween,2021.2.3,59.94981008348772,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,579.0764455997851,None,passage,51,5,silent,blue,577.0614935997874,None,None,577.0614935997874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 silent,001,2022_Oct_13_1024,ProdSingRedoBetween,2021.2.3,59.94981008348772,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,581.5789743999485,None,finish,25,6,silent,yellow,579.5768213998526,None,None,579.5768213998526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 silent,001,2022_Oct_13_1024,ProdSingRedoBetween,2021.2.3,59.94981008348772,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,584.0811772998422,None,attack,86,7,silent,red,582.0820969999768,None,None,582.0820969999768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 silent,001,2022_Oct_13_1024,ProdSingRedoBetween,2021.2.3,59.94981008348772,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,586.6005594998132,None,guard,80,8,silent,red,584.5892657998484,None,None,584.5892657998484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 silent,001,2022_Oct_13_1024,ProdSingRedoBetween,2021.2.3,59.94981008348772,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,589.1197489998303,None,weather,76,9,silent,red,587.105850999942,None,None,587.105850999942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 silent,001,2022_Oct_13_1024,ProdSingRedoBetween,2021.2.3,59.94981008348772,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,591.6222641998902,None,blind,19,10,silent,yellow,589.6202930998988,None,None,589.6202930998988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 silent,001,2022_Oct_13_1024,ProdSingRedoBetween,2021.2.3,59.94981008348772,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,594.1248263998423,None,broke,29,11,silent,blue,592.1236089000013,None,None,592.1236089000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 silent,001,2022_Oct_13_1024,ProdSingRedoBetween,2021.2.3,59.94981008348772,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,596.6269733998924,None,route,27,12,silent,yellow,594.6271076998673,None,None,594.6271076998673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 silent,001,2022_Oct_13_1024,ProdSingRedoBetween,2021.2.3,59.94981008348772,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,599.1465386999771,None,service,62,13,silent,red,597.1355598999653,None,None,597.1355598999653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61 silent,001,2022_Oct_13_1024,ProdSingRedoBetween,2021.2.3,59.94981008348772,
