StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,53.926496299915016,None,c,3.8988224999047816,53.926496299915016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
,,,,,,,,,,,,,,SingTest,57.87228119978681,None,space,709.75166289974,57.87228119978681,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
0,0,0,0,,,,,,,,,,,,,,,,,,57.87228119978681,None,57.87228119978681,None,57.87228119978681,None,57.87228119978681,None,770.1695352001116,None,burden,75,1,sing,red,768.1559875002131,None,None,768.1559875002131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,772.6887560999021,None,period,68,2,sing,red,770.6750619001687,None,None,770.6750619001687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,775.2079651001841,None,population,6,3,sing,yellow,773.2005117000081,None,None,773.2005117000081,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,777.7271370999515,None,shock,45,4,sing,blue,775.715616399888,None,None,775.715616399888,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,780.2294995002449,None,territory,31,5,sing,blue,778.2289885999635,None,None,778.2289885999635,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,782.7489738999866,None,audience,60,6,sing,red,780.7334833000787,None,None,780.7334833000787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,785.2677294001915,None,mankind,73,7,sing,red,783.2600648999214,None,None,783.2600648999214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,787.770544399973,None,reach,34,8,sing,blue,785.7680889000185,None,None,785.7680889000185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,790.2896266998723,None,scene,23,9,sing,yellow,788.27656379994,None,None,788.27656379994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,792.7921414999291,None,short,18,10,sing,yellow,790.7901154002175,None,None,790.7901154002175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,795.3112650997937,None,people,59,11,sing,yellow,793.3030245001428,None,None,793.3030245001428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,797.8138315998949,None,charter,20,12,sing,yellow,795.8117659999989,None,None,795.8117659999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,800.3328645001166,None,health,50,13,sing,blue,798.3197154998779,None,None,798.3197154998779,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,802.8521934999153,None,swift,30,14,sing,blue,800.8364039999433,None,None,800.8364039999433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,805.3547315998003,None,scale,25,15,sing,yellow,803.3525434001349,None,None,803.3525434001349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,807.8737269002013,None,object,49,16,sing,blue,805.8631775001995,None,None,805.8631775001995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,810.3764068000019,None,republic,46,17,sing,blue,808.3760652998462,None,None,808.3760652998462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,812.8954285001382,None,chief,22,18,sing,yellow,810.8810517000966,None,None,810.8810517000966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,815.3980625998229,None,angle,29,19,sing,blue,813.3964937999845,None,None,813.3964937999845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,817.9172280002385,None,smooth,12,20,sing,yellow,815.9039012999274,None,None,815.9039012999274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,820.4197174999863,None,collection,14,21,sing,yellow,818.4181030998006,None,None,818.4181030998006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 Sing,001,2022_Oct_18_0852,ProdSingRedoBetween,2021.2.3,59.53543300939453,
