StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,25.96355039998889,None,c,3.4377354998141527,25.96355039998889,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
,,,,,,,,,,,,,,SingTest,29.442001699935645,None,space,335.551005799789,29.442001699935645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
0,0,0,0,,,,,,,,,,,,,,,,,,29.442001699935645,None,29.442001699935645,None,29.442001699935645,None,29.442001699935645,None,367.5363110997714,None,rural,66,1,sing,red,365.5264085000381,None,None,365.5264085000381,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,370.0553823998198,None,broad,84,2,sing,red,368.0420069000684,None,None,368.0420069000684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,372.57468299986795,None,expansion,58,3,sing,blue,370.57165260007605,None,None,370.57165260007605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,375.0937320999801,None,course,57,4,sing,blue,373.0800385000184,None,None,373.0800385000184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,377.6128933997825,None,spoke,7,5,sing,yellow,375.6017009001225,None,None,375.6017009001225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,380.1153983999975,None,impact,18,6,sing,yellow,378.11343090003356,None,None,378.11343090003356,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,382.6178393000737,None,career,26,7,sing,yellow,380.61828960012645,None,None,380.61828960012645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,385.1203586999327,None,shape,69,8,sing,red,383.1184013998136,None,None,383.1184013998136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,387.6395474001765,None,quiet,0,9,sing,yellow,385.6370573001914,None,None,385.6370573001914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,390.15874919993803,None,express,33,10,sing,blue,388.1447219001129,None,None,388.1447219001129,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,392.67800919990987,None,edition,88,11,sing,red,390.6706071998924,None,None,390.6706071998924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,395.18020919989794,None,report,29,12,sing,blue,393.1784389000386,None,None,393.1784389000386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,397.6829705000855,None,election,6,13,sing,yellow,395.682669499889,None,None,395.682669499889,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,400.2021535001695,None,salary,10,14,sing,yellow,398.18847300019115,None,None,398.18847300019115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,402.7212784001604,None,colonel,81,15,sing,red,400.70592209976166,None,None,400.70592209976166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,405.24034179979935,None,error,35,16,sing,blue,403.2257841001265,None,None,403.2257841001265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,407.742962599732,None,trial,1,17,sing,yellow,405.7406846000813,None,None,405.7406846000813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,410.2622122997418,None,sight,9,18,sing,yellow,408.2474933001213,None,None,408.2474933001213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,412.76461259974167,None,equipment,25,19,sing,yellow,410.7629418000579,None,None,410.7629418000579,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,415.2670958000235,None,patient,28,20,sing,yellow,413.26576490001753,None,None,413.26576490001753,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,417.7862919997424,None,estate,53,21,sing,blue,415.77362129976973,None,None,415.77362129976973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Sing,001,2022_Nov_03_1540,ProdSingRedoBetween,2021.2.3,60.0964067881892,
