StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,30.2412187,None,a,126.2482769,30.2412187,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov4Silent5,73,2022_Nov_04_1425,ProdSingRedoBetween,2021.2.3,60.03006306
,,,,,,,,,,,,,,SilentTest,156.5404215,None,space,11.0768249,156.5404215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov4Silent5,73,2022_Nov_04_1425,ProdSingRedoBetween,2021.2.3,60.03006306
0,0,0,0,,,,,,,,,,,,,,,,,,156.5404215,None,156.5404215,None,156.5404215,None,156.5404215,None,170.1592473,None,trend,43,1,silent,blue,168.1538565,None,None,168.1538565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov4Silent5,73,2022_Nov_04_1425,ProdSingRedoBetween,2021.2.3,60.03006306
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,172.6618711,None,hunger,3,2,silent,yellow,170.6610963,None,None,170.6610963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov4Silent5,73,2022_Nov_04_1425,ProdSingRedoBetween,2021.2.3,60.03006306
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,175.1642813,None,clean,30,3,silent,blue,173.1623518,None,None,173.1623518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov4Silent5,73,2022_Nov_04_1425,ProdSingRedoBetween,2021.2.3,60.03006306
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,177.683462,None,judge,35,4,silent,blue,175.6679523,None,None,175.6679523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov4Silent5,73,2022_Nov_04_1425,ProdSingRedoBetween,2021.2.3,60.03006306
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,180.1860437,None,track,46,5,silent,blue,178.1838721,None,None,178.1838721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov4Silent5,73,2022_Nov_04_1425,ProdSingRedoBetween,2021.2.3,60.03006306
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,182.6884141,None,agency,47,6,silent,blue,180.6881906,None,None,180.6881906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov4Silent5,73,2022_Nov_04_1425,ProdSingRedoBetween,2021.2.3,60.03006306
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,185.1909552,None,prime,65,7,silent,red,183.190154,None,None,183.190154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov4Silent5,73,2022_Nov_04_1425,ProdSingRedoBetween,2021.2.3,60.03006306
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,187.6930565,None,science,14,8,silent,yellow,185.6915867,None,None,185.6915867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov4Silent5,73,2022_Nov_04_1425,ProdSingRedoBetween,2021.2.3,60.03006306
