StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,36.89007510058582,None,c,2.0772695001214743,36.89007510058582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78 sing,001,2022_Nov_15_1453,ProdSingRedoBetween,2021.2.3,59.95904806319269,
,,,,,,,,,,,,,,SingTest,39.00204570032656,None,space,445.1404527006671,39.00204570032656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78 sing,001,2022_Nov_15_1453,ProdSingRedoBetween,2021.2.3,59.95904806319269,
0,0,0,0,,,,,,,,,,,,,,,,,,39.00204570032656,None,39.00204570032656,None,39.00204570032656,None,39.00204570032656,None,486.69755710009485,None,pancakes,5,1,sing,yellow,484.6940989000723,None,None,484.6940989000723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78 sing,001,2022_Nov_15_1453,ProdSingRedoBetween,2021.2.3,59.95904806319269,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,489.1993959005922,None,relation,79,2,sing,red,487.19961670041084,None,None,487.19961670041084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78 sing,001,2022_Nov_15_1453,ProdSingRedoBetween,2021.2.3,59.95904806319269,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,491.71817840076983,None,profession,82,3,sing,red,489.7133932001889,None,None,489.7133932001889,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78 sing,001,2022_Nov_15_1453,ProdSingRedoBetween,2021.2.3,59.95904806319269,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,494.57009000051767,None,quantity,53,4,sing,blue,492.9638668000698,None,None,492.9638668000698,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78 sing,001,2022_Nov_15_1453,ProdSingRedoBetween,2021.2.3,59.95904806319269,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,497.0892558004707,None,community,44,5,sing,blue,495.0787392007187,None,None,495.0787392007187,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78 sing,001,2022_Nov_15_1453,ProdSingRedoBetween,2021.2.3,59.95904806319269,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,499.59167640004307,None,force,18,6,sing,yellow,497.5897376006469,None,None,497.5897376006469,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78 sing,001,2022_Nov_15_1453,ProdSingRedoBetween,2021.2.3,59.95904806319269,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,502.11089920066297,None,split,81,7,sing,red,500.10041940025985,None,None,500.10041940025985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78 sing,001,2022_Nov_15_1453,ProdSingRedoBetween,2021.2.3,59.95904806319269,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,504.61313480045646,None,shape,20,8,sing,yellow,502.6111416006461,None,None,502.6111416006461,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78 sing,001,2022_Nov_15_1453,ProdSingRedoBetween,2021.2.3,59.95904806319269,
