StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,34.55875140056014,None,a,4.959316000342369,34.55875140056014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
,,,,,,,,,,,,,,SilentTest,39.55671070050448,None,space,816.3839389998466,39.55671070050448,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
0,0,0,0,,,,,,,,,,,,,,,,,,39.55671070050448,None,39.55671070050448,None,39.55671070050448,None,39.55671070050448,None,858.4886581003666,None,weight,71,1,silent,red,856.4784384006634,None,space,1.8142210002988577,856.4784384006634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,861.0078762006015,None,phrase,76,2,silent,red,858.995816600509,None,space,1.1287462003529072,858.995816600509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,863.5270560001954,None,object,44,3,silent,blue,861.5144542008638,None,space,1.090387599542737,861.5144542008638,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,866.0461797006428,None,people,3,4,silent,yellow,864.0334865003824,None,space,0.8753208005800843,864.0334865003824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,868.5653219008818,None,search,29,5,silent,blue,866.5511466003954,None,space,0.8374590994790196,866.5511466003954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,871.0676350006834,None,present,24,6,silent,yellow,869.065873500891,None,space,0.7550202999264002,869.065873500891,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,873.5702876001596,None,session,89,7,silent,red,871.5706135006621,None,space,0.6980325998738408,871.5706135006621,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,876.08951440081,None,skill,34,8,silent,blue,874.0741814002395,None,space,0.5863987002521753,874.0741814002395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,878.5920928008854,None,prime,2,9,silent,yellow,876.5900493999943,None,space,0.44675320014357567,876.5900493999943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,881.11102890037,None,recall,62,10,silent,red,879.0971552003175,None,space,0.5154983997344971,879.0971552003175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,883.6136810006574,None,little,18,11,silent,yellow,881.6116813002154,None,space,0.5049300007522106,881.6116813002154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,886.1162716001272,None,minute,13,12,silent,yellow,884.1142225004733,None,space,0.5783363999798894,884.1142225004733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,888.6351127000526,None,degree,35,13,silent,blue,886.6243571005762,None,space,0.5880663003772497,886.6243571005762,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,891.1378431003541,None,threat,54,14,silent,blue,889.1385200005025,None,space,0.594026000238955,889.1385200005025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,893.6570778004825,None,reach,12,15,silent,yellow,891.6497582001612,None,space,0.451269100420177,891.6497582001612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,896.1595603004098,None,message,26,16,silent,yellow,894.1589192003012,None,space,0.5018213000148535,894.1589192003012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,898.6620191000402,None,shape,46,17,silent,blue,896.6600319007412,None,space,0.47256969939917326,896.6600319007412,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,901.181242200546,None,accident,73,18,silent,red,899.1724850004539,None,space,0.4960206998512149,899.1724850004539,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,903.6837484007701,None,drink,58,19,silent,blue,901.6836757007986,None,space,0.44105289969593287,901.6836757007986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,906.2025633007288,None,crime,72,20,silent,red,904.1888247001916,None,space,0.4796013003215194,904.1888247001916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,908.7054106006399,None,worker,17,21,silent,yellow,906.7032375000417,None,space,0.4053058000281453,906.7032375000417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,911.2079487005249,None,signal,42,22,silent,blue,909.206735400483,None,space,0.42176120076328516,909.206735400483,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,913.7103666001931,None,mechanical,79,23,silent,red,911.7087632007897,None,space,0.4156598998233676,911.7087632007897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,916.2128048008308,None,light,60,24,silent,red,914.2108623003587,None,space,0.35394089948385954,914.2108623003587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,918.732142300345,None,charter,63,25,silent,red,916.7477682000026,None,space,0.40057049971073866,916.7477682000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,921.2344803009182,None,author,56,26,silent,blue,919.2324972003698,None,space,0.5639909999445081,919.2324972003698,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,923.7370780007914,None,concern,83,27,silent,red,921.7353094005957,None,space,0.47716130036860704,921.7353094005957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,926.239581300877,None,solution,22,28,silent,yellow,924.2391772000119,None,space,0.36532749980688095,924.2391772000119,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,928.7420427007601,None,touch,1,29,silent,yellow,926.7427743002772,None,space,0.373798799701035,926.7427743002772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,931.2612075004727,None,sound,15,30,silent,yellow,929.2510617002845,None,space,0.44128530006855726,929.2510617002845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,933.7637008000165,None,member,4,31,silent,yellow,931.7616616003215,None,space,0.38678770046681166,931.7616616003215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,936.2661727005616,None,staff,8,32,silent,yellow,934.2642180006951,None,space,0.3482625000178814,934.2642180006951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,938.7853772006929,None,appearance,20,33,silent,yellow,936.773115100339,None,space,0.4154995996505022,936.773115100339,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,941.2878344003111,None,engineer,21,34,silent,yellow,939.2859712000936,None,space,0.26251430064439774,939.2859712000936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,943.7903150003403,None,leader,53,35,silent,blue,941.7893594000489,None,space,0.38302059937268496,941.7893594000489,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,946.2928747003898,None,suggestion,33,36,silent,blue,944.2922063004225,None,space,0.33626800030469894,944.2922063004225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,948.7953260000795,None,portion,36,37,silent,blue,946.7935040006414,None,space,0.3148508006706834,946.7935040006414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,951.3145741000772,None,track,47,38,silent,blue,949.3074935004115,None,space,0.34498830046504736,949.3074935004115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,953.8337397007272,None,evidence,32,39,silent,blue,951.819258400239,None,space,0.4174096994102001,951.819258400239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,956.3534773001447,None,produce,70,40,silent,red,954.3425117004663,None,space,0.4062180994078517,954.3425117004663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,958.8552040001377,None,community,80,41,silent,red,956.8534024003893,None,space,0.5268954001367092,956.8534024003893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79 Silent,001,2022_Nov_15_1522,ProdSingRedoBetween,2021.2.3,59.79112566422879,
