StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,34.10031360015273,None,a,2.1078164000064135,34.10031360015273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
,,,,,,,,,,,,,,SilentTest,36.256215300410986,None,space,68.00782479997724,36.256215300410986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
0,0,0,0,,,,,,,,,,,,,,,,,,36.256215300410986,None,36.256215300410986,None,36.256215300410986,None,36.256215300410986,None,106.78317870013416,None,budget,43,1,silent,blue,104.78078700043261,None,None,104.78078700043261,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,109.30238760076463,None,private,77,2,silent,red,107.29548400081694,None,None,107.29548400081694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,111.8048743000254,None,error,87,3,silent,red,109.8026445005089,None,None,109.8026445005089,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,114.3237444004044,None,property,84,4,silent,red,112.31205970048904,None,None,112.31205970048904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,116.82652030047029,None,rapid,5,5,silent,yellow,114.82423020061105,None,None,114.82423020061105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,119.32881020009518,None,novel,59,6,silent,yellow,117.32703750021756,None,None,117.32703750021756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,121.84829690027982,None,ground,26,7,silent,yellow,119.83293030038476,None,None,119.83293030038476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,124.3506297999993,None,chief,64,8,silent,red,122.35118600074202,None,None,122.35118600074202,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,126.853037500754,None,distance,0,9,silent,yellow,124.85309420060366,None,None,124.85309420060366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,129.35552190057933,None,range,50,10,silent,blue,127.35337060038,None,None,127.35337060038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,131.85805460065603,None,fashion,54,11,silent,blue,129.85594610031694,None,None,129.85594610031694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,134.3606345001608,None,clear,49,12,silent,blue,132.35861660074443,None,None,132.35861660074443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,136.86295340023935,None,guest,17,13,silent,yellow,134.86251360084862,None,None,134.86251360084862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,139.36583030037582,None,interior,41,14,silent,blue,137.36366460006684,None,None,137.36366460006684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,141.8849063999951,None,career,63,15,silent,red,139.8699563005939,None,None,139.8699563005939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,144.38735020067543,None,goose,66,16,silent,red,142.3862352008,None,None,142.3862352008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,146.88972480036318,None,education,76,17,silent,red,144.88790520001203,None,None,144.88790520001203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,149.39212170057,None,household,8,18,silent,yellow,147.39032380003482,None,None,147.39032380003482,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,151.8948049005121,None,engineer,44,19,silent,blue,149.8926286008209,None,None,149.8926286008209,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,154.41394720040262,None,cover,13,20,silent,yellow,152.39964290056378,None,None,152.39964290056378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,156.93312200065702,None,portion,35,21,silent,blue,154.91829950083047,None,None,154.91829950083047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,159.43571700062603,None,thing,56,22,silent,blue,157.43335910048336,None,None,157.43335910048336,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,161.93837150000036,None,revolution,79,23,silent,red,159.9366175001487,None,None,159.9366175001487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,164.44062150083482,None,youth,3,24,silent,yellow,162.44129110034555,None,None,162.44129110034555,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,166.94319230038673,None,short,89,25,silent,red,164.9420899003744,None,None,164.9420899003744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,169.4454675000161,None,machinery,52,26,silent,blue,167.44372150022537,None,None,167.44372150022537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,171.96456320025027,None,finish,7,27,silent,yellow,169.94955120049417,None,None,169.94955120049417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,174.46720600035042,None,principal,88,28,silent,red,172.4682886004448,None,None,172.4682886004448,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,176.96984230075032,None,month,14,29,silent,yellow,174.9677747003734,None,None,174.9677747003734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,179.48895270004869,None,interview,20,30,silent,yellow,177.48450060002506,None,None,177.48450060002506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,181.9914612006396,None,express,27,31,silent,yellow,179.98964970000088,None,None,179.98964970000088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,184.49412290006876,None,exchange,81,32,silent,red,182.49218589998782,None,None,182.49218589998782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,186.99649140052497,None,military,65,33,silent,red,184.9967724001035,None,None,184.9967724001035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,189.4990042001009,None,owner,53,34,silent,blue,187.4966127006337,None,None,187.4966127006337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,192.01827540062368,None,division,68,35,silent,red,190.0066988002509,None,None,190.0066988002509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,194.5205843001604,None,empty,24,36,silent,yellow,192.51871410012245,None,None,192.51871410012245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,197.03968030028045,None,dream,40,37,silent,blue,195.026455800049,None,None,195.026455800049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,199.54229700006545,None,center,46,38,silent,blue,197.54007710050792,None,None,197.54007710050792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,202.04480830021203,None,appeal,74,39,silent,red,200.04285110067576,None,None,200.04285110067576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,204.56396479997784,None,majority,30,40,silent,blue,202.54994950070977,None,None,202.54994950070977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,207.06626210082322,None,afternoon,31,41,silent,blue,205.06434080004692,None,None,205.06434080004692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,209.56896780058742,None,impact,45,42,silent,blue,207.56683140061796,None,None,207.56683140061796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,212.0881614005193,None,broad,16,43,silent,yellow,210.07391650043428,None,None,210.07391650043428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,214.59066080022603,None,contract,36,44,silent,blue,212.58847490046173,None,None,212.58847490046173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,217.10962620005012,None,stand,60,45,silent,red,215.09469000063837,None,None,215.09469000063837,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,219.61237420048565,None,century,32,46,silent,blue,217.61018120031804,None,None,217.61018120031804,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,222.13136890064925,None,mechanical,57,47,silent,blue,220.12094390019774,None,None,220.12094390019774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,224.65069030039012,None,primary,72,48,silent,red,222.63543730042875,None,None,222.63543730042875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,227.15313990041614,None,relation,67,49,silent,red,225.1522246003151,None,None,225.1522246003151,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,229.65570200048387,None,bicycle,83,50,silent,red,227.65441310033202,None,None,227.65441310033202,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,232.15809589996934,None,benefit,55,51,silent,blue,230.15780080016702,None,None,230.15780080016702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,234.67742630001158,None,captain,10,52,silent,yellow,232.66778600029647,None,None,232.66778600029647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,237.1964728999883,None,attack,9,53,silent,yellow,235.18260290008038,None,None,235.18260290008038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,239.69896250031888,None,working,6,54,silent,yellow,237.6970433006063,None,None,237.6970433006063,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,242.21798000019044,None,force,28,55,silent,yellow,240.20614770054817,None,None,240.20614770054817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,244.72067060042173,None,discovery,62,56,silent,red,242.71884870063514,None,None,242.71884870063514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,247.22267530020326,None,heavy,61,57,silent,red,245.22278690058738,None,None,245.22278690058738,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,249.72571510076523,None,income,23,58,silent,yellow,247.7235262999311,None,None,247.7235262999311,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,252.24490640033036,None,commercial,70,59,silent,red,250.22963680047542,None,None,250.22963680047542,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,254.7635999005288,None,produce,51,60,silent,blue,252.74955470021814,None,None,252.74955470021814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,257.28338799998164,None,danger,25,61,silent,yellow,255.26762429997325,None,None,255.26762429997325,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82  Silent,001,2022_Nov_15_1708,ProdSingRedoBetween,2021.2.3,59.875506846191094,
