StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,51.08933210000396,None,b,14.158950500190258,51.08933210000396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86 Aloud,001,2022_Nov_17_1153,ProdSingRedoBetween,2021.2.3,60.61124018055857,
,,,,,,,,,,,,,,AloudTest,65.3164029000327,None,space,376.7630253005773,65.3164029000327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86 Aloud,001,2022_Nov_17_1153,ProdSingRedoBetween,2021.2.3,60.61124018055857,
0,0,0,0,,,,,,,,,,,,,,,,,,65.3164029000327,None,65.3164029000327,None,65.3164029000327,None,65.3164029000327,None,444.6229306003079,None,order,73,1,aloud,red,442.60930620040745,None,None,442.60930620040745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86 Aloud,001,2022_Nov_17_1153,ProdSingRedoBetween,2021.2.3,60.61124018055857,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,447.1213261000812,None,fashion,35,2,aloud,blue,445.1190586006269,None,None,445.1190586006269,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86 Aloud,001,2022_Nov_17_1153,ProdSingRedoBetween,2021.2.3,60.61124018055857,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,449.62376500014216,None,article,67,3,aloud,red,447.62151059973985,None,None,447.62151059973985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86 Aloud,001,2022_Nov_17_1153,ProdSingRedoBetween,2021.2.3,60.61124018055857,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,452.14297869987786,None,empty,8,4,aloud,yellow,450.1309278998524,None,None,450.1309278998524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86 Aloud,001,2022_Nov_17_1153,ProdSingRedoBetween,2021.2.3,60.61124018055857,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,454.6455132002011,None,shape,54,5,aloud,blue,452.6456206999719,None,None,452.6456206999719,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86 Aloud,001,2022_Nov_17_1153,ProdSingRedoBetween,2021.2.3,60.61124018055857,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,457.16445219982415,None,angle,26,6,aloud,yellow,455.1490305997431,None,None,455.1490305997431,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86 Aloud,001,2022_Nov_17_1153,ProdSingRedoBetween,2021.2.3,60.61124018055857,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,459.68350370042026,None,voice,51,7,aloud,blue,457.67154460027814,None,None,457.67154460027814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86 Aloud,001,2022_Nov_17_1153,ProdSingRedoBetween,2021.2.3,60.61124018055857,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,462.1861490001902,None,discovery,59,8,aloud,yellow,460.18570249993354,None,None,460.18570249993354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86 Aloud,001,2022_Nov_17_1153,ProdSingRedoBetween,2021.2.3,60.61124018055857,
