StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,34.516627999953926,None,c,1.7409585993736982,34.516627999953926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
,,,,,,,,,,,,,,SingTest,36.319923900067806,None,space,616.3843060992658,36.319923900067806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
0,0,0,0,,,,,,,,,,,,,,,,,,36.319923900067806,None,36.319923900067806,None,36.319923900067806,None,36.319923900067806,None,655.2510551000014,None,mechanical,15,1,sing,yellow,653.2380064995959,None,space,1.7544937999919057,653.2380064995959,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,657.7686241995543,None,beginning,55,2,sing,blue,655.7540103998035,None,space,1.8224836001172662,655.7540103998035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,660.2866561999545,None,worker,89,3,sing,red,658.2790663000196,None,None,,658.2790663000196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,662.7899284996092,None,still,77,4,sing,red,660.7886272994801,None,None,,660.7886272994801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,665.2922462001443,None,rural,9,5,sing,yellow,663.293040400371,None,None,,663.293040400371,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,667.8114692997187,None,discussion,66,6,sing,red,665.7965435003862,None,None,,665.7965435003862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,670.3135337997228,None,burden,76,7,sing,red,668.3121290998533,None,None,,668.3121290998533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,672.8161928998306,None,plane,45,8,sing,blue,670.8165108999237,None,None,,670.8165108999237,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90sing,001,2022_Nov_21_1032,ProdSingRedoBetween,2021.2.3,60.03600969109067,
