StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,38.13864760007709,None,b,3.072694499976933,38.13864760007709,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92Aloud,001,2022_Nov_21_1126,ProdSingRedoBetween,2021.2.3,59.969295933490585,
,,,,,,,,,,,,,,AloudTest,41.2641540998593,None,space,188.67492950055748,41.2641540998593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92Aloud,001,2022_Nov_21_1126,ProdSingRedoBetween,2021.2.3,59.969295933490585,
0,0,0,0,,,,,,,,,,,,,,,,,,41.2641540998593,None,41.2641540998593,None,41.2641540998593,None,41.2641540998593,None,232.48031229991466,None,hunger,49,1,aloud,blue,230.46975979954004,None,None,230.46975979954004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92Aloud,001,2022_Nov_21_1126,ProdSingRedoBetween,2021.2.3,59.969295933490585,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,234.98273559939116,None,crowd,37,2,aloud,blue,232.98068749997765,None,None,232.98068749997765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92Aloud,001,2022_Nov_21_1126,ProdSingRedoBetween,2021.2.3,59.969295933490585,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,237.50193869974464,None,quantity,82,3,aloud,red,235.49473639950156,None,None,235.49473639950156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92Aloud,001,2022_Nov_21_1126,ProdSingRedoBetween,2021.2.3,59.969295933490585,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,240.0044695995748,None,blind,78,4,aloud,red,238.00237949937582,None,None,238.00237949937582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92Aloud,001,2022_Nov_21_1126,ProdSingRedoBetween,2021.2.3,59.969295933490585,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,242.5235386993736,None,welcome,10,5,aloud,yellow,240.50935809966177,None,None,240.50935809966177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92Aloud,001,2022_Nov_21_1126,ProdSingRedoBetween,2021.2.3,59.969295933490585,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,245.02608670014888,None,council,69,6,aloud,red,243.02405430004,None,None,243.02405430004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92Aloud,001,2022_Nov_21_1126,ProdSingRedoBetween,2021.2.3,59.969295933490585,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,247.54530220013112,None,payment,56,7,aloud,blue,245.5337760997936,None,None,245.5337760997936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92Aloud,001,2022_Nov_21_1126,ProdSingRedoBetween,2021.2.3,59.969295933490585,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,250.06446219980717,None,force,84,8,aloud,red,248.04964020010084,None,None,248.04964020010084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92Aloud,001,2022_Nov_21_1126,ProdSingRedoBetween,2021.2.3,59.969295933490585,
