StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,33.6452104,None,b,231.2045908,33.6452104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
,,,,,,,,,,,,,,AloudTest,264.9042135,None,space,16.9053486,264.9042135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
0,0,0,0,,,,,,,,,,,,,,,,,,264.9042135,None,264.9042135,None,264.9042135,None,264.9042135,None,284.3475048,None,pattern,43,1,aloud,blue,282.3400111,None,None,282.3400111,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,286.8667007,None,author,12,2,aloud,yellow,284.8514535,None,None,284.8514535,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,289.3860312,None,heavy,84,3,aloud,red,287.3794323,None,None,287.3794323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,291.8883392,None,front,62,4,aloud,red,289.8878172,None,None,289.8878172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,294.3907555,None,engineer,55,5,aloud,blue,292.3888504,None,None,292.3888504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,296.9100102,None,background,40,6,aloud,blue,294.8992174,None,None,294.8992174,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,299.4291713,None,service,69,7,aloud,red,297.4145431,None,None,297.4145431,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,301.9313612,None,government,77,8,aloud,red,299.9297288,None,None,299.9297288,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nov21Aloud3,95,2022_Nov_21_1653,ProdSingRedoBetween,2021.2.3,59.9501335
