StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,22.903570100665092,None,a,6.6402550004422665,22.903570100665092,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
,,,,,,,,,,,,,,SilentTest,29.588355200365186,None,space,144.03498550038785,29.588355200365186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
0,0,0,0,,,,,,,,,,,,,,,,,,29.588355200365186,None,29.588355200365186,None,29.588355200365186,None,29.588355200365186,None,176.16157510038465,None,running,30,1,silent,blue,174.14865070022643,None,None,174.14865070022643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,178.66443360038102,None,escape,32,2,silent,blue,176.6620826004073,None,None,176.6620826004073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,181.16667569987476,None,order,40,3,silent,blue,179.1671020006761,None,None,179.1671020006761,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,183.66939570009708,None,store,8,4,silent,yellow,181.6680765002966,None,None,181.6680765002966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,186.18842690065503,None,edition,65,5,silent,red,184.17726750019938,None,None,184.17726750019938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,188.7077466007322,None,treatment,89,6,silent,red,186.69863500073552,None,None,186.69863500073552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,191.2102304007858,None,health,76,7,silent,red,189.2081991005689,None,None,189.2081991005689,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,193.72943050041795,None,shock,82,8,silent,red,191.71752590034157,None,None,191.71752590034157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,196.23185880016536,None,addition,50,9,silent,blue,194.22996360063553,None,None,194.22996360063553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,198.73438990022987,None,portion,22,10,silent,yellow,196.73423480056226,None,None,196.73423480056226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,201.2536024004221,None,danger,5,11,silent,yellow,199.2384534003213,None,None,199.2384534003213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,203.75604390073568,None,accident,56,12,silent,blue,201.75412960071117,None,None,201.75412960071117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,206.27536060009152,None,discovery,78,13,silent,red,204.26132180076092,None,None,204.26132180076092,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,208.79411510005593,None,worker,14,14,silent,yellow,206.77918800059706,None,None,206.77918800059706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,211.29696460068226,None,season,51,15,silent,blue,209.29489629995078,None,None,209.29489629995078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,213.81619970034808,None,debate,48,16,silent,blue,211.80754549987614,None,None,211.80754549987614,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,216.33500970061868,None,childhood,77,17,silent,red,214.32376900035888,None,None,214.32376900035888,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,218.83758360054344,None,trash,83,18,silent,red,216.83562810067087,None,None,216.83562810067087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,221.35667360015213,None,research,9,19,silent,yellow,219.34292790014297,None,None,219.34292790014297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 Silent,001,2022_Nov_22_1152,ProdSingRedoBetween,2021.2.3,59.93543758530538,
