StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,31.13932180032134,None,b,12.490370400249958,31.13932180032134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
,,,,,,,,,,,,,,AloudTest,43.68511120043695,None,space,147.64820820000023,43.68511120043695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
0,0,0,0,,,,,,,,,,,,,,,,,,43.68511120043695,None,43.68511120043695,None,43.68511120043695,None,43.68511120043695,None,193.87174380011857,None,beginning,65,1,aloud,red,191.85756259970367,None,None,191.85756259970367,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,196.37435039971024,None,drama,84,2,aloud,red,194.3720995001495,None,space,194.3720995001495,None,1.9532503001391888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,198.87679660040885,None,burden,58,3,aloud,blue,196.87462029978633,None,None,196.87462029978633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,201.37907700054348,None,reading,62,4,aloud,red,199.37722400017083,None,None,199.37722400017083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,203.88140229973942,None,defeat,22,5,aloud,yellow,201.87960830051452,None,space,201.87960830051452,None,1.6936899004504085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,206.3843398001045,None,present,47,6,aloud,blue,204.38202510029078,None,None,204.38202510029078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,208.9033562000841,None,conference,15,7,aloud,yellow,206.88861980009824,None,None,206.88861980009824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,211.4061334002763,None,tragedy,34,8,aloud,blue,209.40394150000066,None,None,209.40394150000066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98Aloud,001,2022_Nov_28_1002,ProdSingRedoBetween,2021.2.3,59.97825170636562,
