StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,25.645946600000002,None,b,6.8044346000000075,25.645946600000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloud11,001,2022_Aug_03_1425,ProdSingRedoBetween,2021.2.3,59.89515951278931,
,,,,,,,,,,,,,,AloudTest,32.4982852,None,space,161.6719583,32.4982852,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloud11,001,2022_Aug_03_1425,ProdSingRedoBetween,2021.2.3,59.89515951278931,
0,0,0,0,,,,,,,,,,,,,,,,,,32.4982852,None,32.4982852,None,32.4982852,None,32.4982852,None,196.71892029999998,None,balance,23,1,aloud,yellow,194.70864699999998,None,None,194.70864699999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloud11,001,2022_Aug_03_1425,ProdSingRedoBetween,2021.2.3,59.89515951278931,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,199.2214229,None,working,84,2,aloud,red,197.22192590000003,None,None,197.22192590000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloud11,001,2022_Aug_03_1425,ProdSingRedoBetween,2021.2.3,59.89515951278931,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,201.72398629999998,None,pattern,61,3,aloud,red,199.72188900000003,None,None,199.72188900000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloud11,001,2022_Aug_03_1425,ProdSingRedoBetween,2021.2.3,59.89515951278931,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,204.24309540000002,None,comedy,45,4,aloud,blue,202.22912480000002,None,None,202.22912480000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloud11,001,2022_Aug_03_1425,ProdSingRedoBetween,2021.2.3,59.89515951278931,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,206.74558059999998,None,scene,43,5,aloud,blue,204.7432554,None,None,204.7432554,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloud11,001,2022_Aug_03_1425,ProdSingRedoBetween,2021.2.3,59.89515951278931,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,209.2647791,None,collection,69,6,aloud,red,207.25042100000002,None,None,207.25042100000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloud11,001,2022_Aug_03_1425,ProdSingRedoBetween,2021.2.3,59.89515951278931,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,211.7672013,None,republic,19,7,aloud,yellow,209.76524139999998,None,None,209.76524139999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloud11,001,2022_Aug_03_1425,ProdSingRedoBetween,2021.2.3,59.89515951278931,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,214.26975320000003,None,write,79,8,aloud,red,212.26772599999998,None,None,212.26772599999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloud11,001,2022_Aug_03_1425,ProdSingRedoBetween,2021.2.3,59.89515951278931,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,216.77218370000003,None,space,64,9,aloud,red,214.77238520000003,None,None,214.77238520000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloud11,001,2022_Aug_03_1425,ProdSingRedoBetween,2021.2.3,59.89515951278931,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,219.29137609999998,None,damage,37,10,aloud,blue,217.27601950000002,None,None,217.27601950000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloud11,001,2022_Aug_03_1425,ProdSingRedoBetween,2021.2.3,59.89515951278931,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,221.79388620000003,None,narrow,44,11,aloud,blue,219.7919084,None,None,219.7919084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloud11,001,2022_Aug_03_1425,ProdSingRedoBetween,2021.2.3,59.89515951278931,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,224.29625370000002,None,blind,75,12,aloud,red,222.2945102,None,None,222.2945102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloud11,001,2022_Aug_03_1425,ProdSingRedoBetween,2021.2.3,59.89515951278931,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,226.815765,None,interview,70,13,aloud,red,224.80720780000001,None,None,224.80720780000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aloud11,001,2022_Aug_03_1425,ProdSingRedoBetween,2021.2.3,59.89515951278931,
