StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,454.7198162,None,b,165.7240984,454.7198162,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
,,,,,,,,,,,,,,AloudTest,620.5039122,None,space,12.4276894,620.5039122,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
0,0,0,0,,,,,,,,,,,,,,,,,,620.5039122,None,620.5039122,None,620.5039122,None,620.5039122,None,635.4801185,None,rural,39,1,aloud,blue,633.466453,None,None,633.466453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,637.9825907,None,pressure,72,2,aloud,red,635.980568,None,None,635.980568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,640.5016993,None,testimony,52,3,aloud,blue,638.4892348,None,None,638.4892348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,643.0207276,None,block,41,4,aloud,blue,641.0085534,None,None,641.0085534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,645.5233743,None,revolution,57,5,aloud,blue,643.5212801,None,None,643.5212801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,648.0256176,None,vision,60,6,aloud,red,646.0283146,None,None,646.0283146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,650.5450839,None,signal,45,7,aloud,blue,648.5293067,None,None,648.5293067,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,653.0475546,None,general,67,8,aloud,red,651.0480321,None,None,651.0480321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,655.5500698,None,sleep,32,9,aloud,blue,653.5491816,None,None,653.5491816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,658.0525478,None,candidate,83,10,aloud,red,656.0505746,None,None,656.0505746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,660.5718145,None,citizen,37,11,aloud,blue,658.5612746,None,None,658.5612746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,663.0909,None,alert,85,12,aloud,red,661.0806996,None,None,661.0806996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,665.5934722,None,staff,44,13,aloud,blue,663.5914195,None,None,663.5914195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,668.0959512,None,court,87,14,aloud,red,666.0962562,None,None,666.0962562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,670.6150847,None,republic,75,15,aloud,red,668.6065795,None,None,668.6065795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,673.134137,None,weight,8,16,aloud,yellow,671.1192466,None,None,671.1192466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,675.6366158,None,music,80,17,aloud,red,673.6347981,None,None,673.6347981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,678.155985,None,exchange,4,18,aloud,yellow,676.1474559,None,None,676.1474559,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Aloud1,65,2022_Oct_24_1624,ProdSingRedoBetween,2021.2.3,59.94244332
