StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,22.071285999991233,None,a,154.1705296,22.071285999991233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
,,,,,,,,,,,,,,SilentTest,176.30440599999565,None,space,50.62475919999997,176.30440599999565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
0,0,0,0,,,,,,,,,,,,,,,,,,176.30440599999565,None,176.30440599999565,None,176.30440599999565,None,176.30440599999565,None,229.46072920000006,None,health,50,1,silent,blue,227.45241369999712,None,None,227.45241369999712,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,231.96344609999505,None,carry,12,2,silent,yellow,229.96136139999726,None,None,229.96136139999726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,234.48275399999693,None,corner,48,3,silent,blue,232.47297919999983,None,None,232.47297919999983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,237.00189909999608,None,throw,75,4,silent,red,234.99074529999052,None,None,234.99074529999052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,239.52107109999633,None,goose,62,5,silent,red,237.51026099998853,None,None,237.51026099998853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,242.04018279998854,None,light,49,6,silent,blue,240.0273664999986,None,None,240.0273664999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,244.5594412999926,None,under,13,7,silent,yellow,242.54795359999116,None,None,242.54795359999116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,247.07864939999126,None,century,87,8,silent,red,245.07136889999674,None,None,245.07136889999674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,249.5977961999888,None,whole,31,9,silent,blue,247.58741369999188,None,None,247.58741369999188,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,252.11657049998757,None,prime,44,10,silent,blue,250.10840239998652,None,None,250.10840239998652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,254.6360898999992,None,direction,33,11,silent,blue,252.62094439999782,None,None,252.62094439999782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,257.15536489999795,None,command,41,12,silent,blue,255.14364809999825,None,None,255.14364809999825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,259.6745191999944,None,congress,8,13,silent,yellow,257.6654090999946,None,None,257.6654090999946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,262.1935969999904,None,waste,64,14,silent,red,260.18692889998783,None,None,260.18692889998783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,264.712735299996,None,music,77,15,silent,red,262.70384839999315,None,None,262.70384839999315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,267.232068399986,None,material,19,16,silent,yellow,265.2236130999954,None,None,265.2236130999954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,269.7512890999933,None,concern,38,17,silent,blue,267.7410807999986,None,None,267.7410807999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,272.27034730000014,None,payment,45,18,silent,blue,270.2634446999873,None,None,270.2634446999873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,274.78958889999194,None,opening,82,19,silent,red,272.7813274999935,None,None,272.7813274999935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,277.3087514999934,None,collection,23,20,silent,yellow,275.2975785999879,None,None,275.2975785999879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,279.8286623999884,None,raise,61,21,silent,red,277.8197138999967,None,None,277.8197138999967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,282.3467715999868,None,native,42,22,silent,blue,280.34690919998684,None,None,280.34690919998684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,284.8662936999899,None,agency,20,23,silent,yellow,282.85900279998896,None,None,282.85900279998896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,287.3855562999961,None,escape,72,24,silent,red,285.3804112999933,None,None,285.3804112999933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silent01,001,2022_Jun_23_1000,ProdSingRedoBetween,2021.2.3,59.81841522186862,
