StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,53.5937485,None,a,118.621018,53.5937485,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
,,,,,,,,,,,,,,SilentTest,172.2674027,None,space,8.3392389,172.2674027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
0,0,0,0,,,,,,,,,,,,,,,,,,172.2674027,None,172.2674027,None,172.2674027,None,172.2674027,None,183.1346162,None,graduate,87,1,silent,red,181.1326645,None,None,181.1326645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,185.6373464,None,material,43,2,silent,blue,183.6349446,None,None,183.6349446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,188.1395167,None,alert,45,3,silent,blue,186.1383993,None,None,186.1383993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,190.6421492,None,brief,46,4,silent,blue,188.6412669,None,None,188.6412669,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,193.1446198,None,point,17,5,silent,yellow,191.1425181,None,None,191.1425181,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,195.6473415,None,resistance,51,6,silent,blue,193.6451691,None,None,193.6451691,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,198.1496313,None,contract,16,7,silent,yellow,196.147713,None,None,196.147713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,200.6521886,None,hearing,84,8,silent,red,198.6508652,None,None,198.6508652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct24Silent2,64,2022_Oct_24_1552,ProdSingRedoBetween,2021.2.3,60.05342354
