StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,1579.720359,None,a,155.1322616,1579.720359,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,,,,,,,,,,,SilentTest,1734.903601,None,space,9.1090298,1734.903601,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
0,0,0,0,,,,,,,,,,,,,,,,,,1734.903601,None,1734.903601,None,1734.903601,None,1734.903601,None,1746.530688,None,empty,12,1,silent,yellow,1744.528735,None,space,1.3638145,1744.528735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1749.033361,None,little,87,2,silent,red,1747.031506,None,space,1.8130131,1747.031506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,1751.552509,None,position,5,3,silent,yellow,1749.537458,None,space,1.0430516,1749.537458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,1754.055132,None,raise,13,4,silent,yellow,1752.054681,None,space,1.3182074,1752.054681,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,1756.573984,None,broke,54,5,silent,blue,1754.565098,None,space,0.9994999,1754.565098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,1759.076759,None,blind,28,6,silent,yellow,1757.074791,None,None,,1757.074791,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,1761.595881,None,crisis,85,7,silent,red,1759.582471,None,space,1.1021328,1759.582471,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,1764.115154,None,center,89,8,silent,red,1762.099837,None,space,1.1766443,1762.099837,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,1766.617573,None,watch,63,9,silent,red,1764.617096,None,None,,1764.617096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,1769.13685,None,length,74,10,silent,red,1767.124653,None,None,,1767.124653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,1771.655935,None,object,34,11,silent,blue,1769.641091,None,None,,1769.641091,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,1774.158418,None,sight,75,12,silent,red,1772.156536,None,None,,1772.156536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,1776.66091,None,signal,27,13,silent,yellow,1774.658852,None,None,,1774.658852,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,1779.163111,None,court,39,14,silent,blue,1777.163844,None,None,,1777.163844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,1781.666028,None,narrow,7,15,silent,yellow,1779.663723,None,None,,1779.663723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,1784.168531,None,degree,23,16,silent,yellow,1782.166493,None,None,,1782.166493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,1786.687458,None,expansion,32,17,silent,blue,1784.672119,None,None,,1784.672119,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,1789.189894,None,tough,0,18,silent,yellow,1787.188172,None,None,,1787.188172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,1791.692686,None,answer,73,19,silent,red,1789.690516,None,None,,1789.690516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,1794.195094,None,concern,20,20,silent,yellow,1792.193364,None,None,,1792.193364,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,1796.697624,None,grade,72,21,silent,red,1794.696936,None,None,,1794.696936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,1799.199944,None,sleep,65,22,silent,red,1797.200429,None,None,,1797.200429,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
