StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,22.0572675,None,a,110.7540089,22.0572675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
,,,,,,,,,,,,,,SilentTest,132.889199,None,space,16.8739174,132.889199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
0,0,0,0,,,,,,,,,,,,,,,,,,132.889199,None,132.889199,None,132.889199,None,132.889199,None,152.310153,None,quarter,62,1,silent,red,150.3019145,None,None,150.3019145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,154.8127517,None,general,1,2,silent,yellow,152.8114205,None,space,152.8114205,None,1.7039317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,157.3318662,None,error,5,3,silent,yellow,155.3176436,None,space,155.3176436,None,1.1894131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,159.8341253,None,welcome,38,4,silent,blue,157.8321373,None,space,157.8321373,None,1.2750169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,162.3535337,None,clear,48,5,silent,blue,160.3380568,None,space,160.3380568,None,1.1770075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,164.8560295,None,problem,14,6,silent,yellow,162.8554124,None,space,162.8554124,None,1.1799154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,167.3751348,None,victory,83,7,silent,red,165.365216,None,space,165.365216,None,1.4538173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,169.8778001,None,front,57,8,silent,blue,167.8786918,None,space,167.8786918,None,1.4203469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,172.3810162,None,month,49,9,silent,blue,170.3779534,None,space,170.3779534,None,1.3131148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,174.8823118,None,suspect,3,10,silent,yellow,172.881311,None,space,172.881311,None,1.9376339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,177.4025641,None,period,29,11,silent,blue,175.3864569,None,space,175.3864569,None,0.9126823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,179.9209851,None,heavy,11,12,silent,yellow,177.9055963,None,space,177.9055963,None,0.9374413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,182.4233905,None,religion,39,13,silent,blue,180.4215134,None,space,180.4215134,None,0.3578131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep30Silent1,58,2022_Sep_30_1430,ProdSingRedoBetween,2021.2.3,59.93267161
