StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,10.4547472,None,a,433.0473768,10.4547472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep6Silent1,1,2022_Sep_06_1126,ProdSingRedoBetween,2021.2.3,59.454446
,,,,,,,,,,,,,,SilentTest,443.5486418,None,space,7.0973031,443.5486418,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep6Silent1,1,2022_Sep_06_1126,ProdSingRedoBetween,2021.2.3,59.454446
0,0,0,0,,,,,,,,,,,,,,,,,,443.5486418,None,443.5486418,None,443.5486418,None,443.5486418,None,453.1742153,None,sunset,19,1,silent,yellow,451.1740266,None,None,451.1740266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep6Silent1,1,2022_Sep_06_1126,ProdSingRedoBetween,2021.2.3,59.454446
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,455.6765404,None,household,52,2,silent,blue,453.677309,None,None,453.677309,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep6Silent1,1,2022_Sep_06_1126,ProdSingRedoBetween,2021.2.3,59.454446
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,458.1792127,None,beginning,23,3,silent,yellow,456.1781611,None,None,456.1781611,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep6Silent1,1,2022_Sep_06_1126,ProdSingRedoBetween,2021.2.3,59.454446
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,460.6818337,None,minor,31,4,silent,blue,458.6800169,None,None,458.6800169,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep6Silent1,1,2022_Sep_06_1126,ProdSingRedoBetween,2021.2.3,59.454446
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,463.2010683,None,travel,53,5,silent,blue,461.1968334,None,None,461.1968334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep6Silent1,1,2022_Sep_06_1126,ProdSingRedoBetween,2021.2.3,59.454446
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,465.7033337,None,article,59,6,silent,yellow,463.7015564,None,None,463.7015564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep6Silent1,1,2022_Sep_06_1126,ProdSingRedoBetween,2021.2.3,59.454446
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,468.2059083,None,review,42,7,silent,blue,466.2062643,None,None,466.2062643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep6Silent1,1,2022_Sep_06_1126,ProdSingRedoBetween,2021.2.3,59.454446
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,470.7082055,None,signal,74,8,silent,red,468.7085608,None,None,468.7085608,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep6Silent1,1,2022_Sep_06_1126,ProdSingRedoBetween,2021.2.3,59.454446
