StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,34.21292380010709,None,c,11.671318399952725,34.21292380010709,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing 60,001,2022_Oct_11_1422,ProdSingRedoBetween,2021.2.3,59.92448316333763,
,,,,,,,,,,,,,,SingTest,45.95747740007937,None,space,5836.380544699961,45.95747740007937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing 60,001,2022_Oct_11_1422,ProdSingRedoBetween,2021.2.3,59.92448316333763,
0,0,0,0,,,,,,,,,,,,,,,,,,45.95747740007937,None,45.95747740007937,None,45.95747740007937,None,45.95747740007937,None,5884.870699400082,None,series,27,1,sing,yellow,5882.868626300013,None,None,5882.868626300013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing 60,001,2022_Oct_11_1422,ProdSingRedoBetween,2021.2.3,59.92448316333763,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,5887.373315100092,None,pressure,19,2,sing,yellow,5885.373468900099,None,None,5885.373468900099,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing 60,001,2022_Oct_11_1422,ProdSingRedoBetween,2021.2.3,59.92448316333763,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,5889.8758857001085,None,order,81,3,sing,red,5887.873452000087,None,None,5887.873452000087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing 60,001,2022_Oct_11_1422,ProdSingRedoBetween,2021.2.3,59.92448316333763,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,5892.378193699988,None,swift,85,4,sing,red,5890.37599560013,None,None,5890.37599560013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing 60,001,2022_Oct_11_1422,ProdSingRedoBetween,2021.2.3,59.92448316333763,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,5894.897491800133,None,individual,43,5,sing,blue,5892.888276500162,None,None,5892.888276500162,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing 60,001,2022_Oct_11_1422,ProdSingRedoBetween,2021.2.3,59.92448316333763,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,5897.416422400158,None,industry,64,6,sing,red,5895.402560100192,None,None,5895.402560100192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing 60,001,2022_Oct_11_1422,ProdSingRedoBetween,2021.2.3,59.92448316333763,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,5899.919043900212,None,season,34,7,sing,blue,5897.916946000187,None,None,5897.916946000187,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing 60,001,2022_Oct_11_1422,ProdSingRedoBetween,2021.2.3,59.92448316333763,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,5902.421235500136,None,rural,67,8,sing,red,5900.419431700138,None,None,5900.419431700138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing 60,001,2022_Oct_11_1422,ProdSingRedoBetween,2021.2.3,59.92448316333763,
