StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.20567880012095,None,c,3.556993099860847,20.20567880012095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing6,001,2022_Jul_26_0959,ProdSingRedoBetween,2021.2.3,59.96375799170103,
,,,,,,,,,,,,,,SingTest,23.83514059986919,None,space,187.41519939992577,23.83514059986919,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing6,001,2022_Jul_26_0959,ProdSingRedoBetween,2021.2.3,59.96375799170103,
0,0,0,0,,,,,,,,,,,,,,,,,,23.83514059986919,None,23.83514059986919,None,23.83514059986919,None,23.83514059986919,None,213.79192849993706,None,narrow,17,1,sing,yellow,211.79249879997224,None,None,211.79249879997224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing6,001,2022_Jul_26_0959,ProdSingRedoBetween,2021.2.3,59.96375799170103,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,216.31051700003445,None,appearance,71,2,sing,red,214.30566600011662,None,None,214.30566600011662,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing6,001,2022_Jul_26_0959,ProdSingRedoBetween,2021.2.3,59.96375799170103,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,218.8297020997852,None,master,41,3,sing,blue,216.81998609984294,None,None,216.81998609984294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing6,001,2022_Jul_26_0959,ProdSingRedoBetween,2021.2.3,59.96375799170103,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,221.34883939987049,None,agency,77,4,sing,red,219.34084639977664,None,None,219.34084639977664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing6,001,2022_Jul_26_0959,ProdSingRedoBetween,2021.2.3,59.96375799170103,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,223.8680698000826,None,hunger,72,5,sing,red,221.85818170011044,None,None,221.85818170011044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing6,001,2022_Jul_26_0959,ProdSingRedoBetween,2021.2.3,59.96375799170103,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,226.38723869994283,None,corner,57,6,sing,blue,224.3774266000837,None,None,224.3774266000837,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing6,001,2022_Jul_26_0959,ProdSingRedoBetween,2021.2.3,59.96375799170103,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,228.90635879989713,None,brief,16,7,sing,yellow,226.89887609984726,None,None,226.89887609984726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing6,001,2022_Jul_26_0959,ProdSingRedoBetween,2021.2.3,59.96375799170103,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,231.42563749989495,None,graduate,10,8,sing,yellow,229.41642879974097,None,None,229.41642879974097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sing6,001,2022_Jul_26_0959,ProdSingRedoBetween,2021.2.3,59.96375799170103,
