StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,36.3250889,None,c,394.0360189,36.3250889,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep09Sing1,48,2022_Sep_09_1433,ProdSingRedoBetween,2021.2.3,59.93942522
,,,,,,,,,,,,,,SingTest,430.429075,None,space,25.31625,430.429075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep09Sing1,48,2022_Sep_09_1433,ProdSingRedoBetween,2021.2.3,59.93942522
0,0,0,0,,,,,,,,,,,,,,,,,,430.429075,None,430.429075,None,430.429075,None,430.429075,None,458.2720636,None,signal,40,1,sing,blue,456.2715242,None,None,456.2715242,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep09Sing1,48,2022_Sep_09_1433,ProdSingRedoBetween,2021.2.3,59.93942522
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,460.7745688,None,build,73,2,sing,red,458.7724714,None,None,458.7724714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep09Sing1,48,2022_Sep_09_1433,ProdSingRedoBetween,2021.2.3,59.93942522
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,463.2768109,None,thick,64,3,sing,red,461.2771001,None,None,461.2771001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep09Sing1,48,2022_Sep_09_1433,ProdSingRedoBetween,2021.2.3,59.93942522
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,465.795905,None,exchange,67,4,sing,red,463.7886404,None,None,463.7886404,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep09Sing1,48,2022_Sep_09_1433,ProdSingRedoBetween,2021.2.3,59.93942522
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,468.2984377,None,prime,50,5,sing,blue,466.2967203,None,None,466.2967203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep09Sing1,48,2022_Sep_09_1433,ProdSingRedoBetween,2021.2.3,59.93942522
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,470.8012641,None,bitter,55,6,sing,blue,468.7990401,None,None,468.7990401,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep09Sing1,48,2022_Sep_09_1433,ProdSingRedoBetween,2021.2.3,59.93942522
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,473.3038366,None,corner,0,7,sing,yellow,471.3037168,None,None,471.3037168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep09Sing1,48,2022_Sep_09_1433,ProdSingRedoBetween,2021.2.3,59.93942522
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,475.8230309,None,colonel,57,8,sing,blue,473.809816,None,None,473.809816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep09Sing1,48,2022_Sep_09_1433,ProdSingRedoBetween,2021.2.3,59.93942522
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,478.3255183,None,alert,39,9,sing,blue,476.3264577,None,None,476.3264577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep09Sing1,48,2022_Sep_09_1433,ProdSingRedoBetween,2021.2.3,59.93942522
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,480.8279537,None,history,87,10,sing,red,478.8279754,None,None,478.8279754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep09Sing1,48,2022_Sep_09_1433,ProdSingRedoBetween,2021.2.3,59.93942522
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,483.3304323,None,design,52,11,sing,blue,481.3285051,None,None,481.3285051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep09Sing1,48,2022_Sep_09_1433,ProdSingRedoBetween,2021.2.3,59.93942522
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,485.8330141,None,point,7,12,sing,yellow,483.8336499,None,None,483.8336499,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep09Sing1,48,2022_Sep_09_1433,ProdSingRedoBetween,2021.2.3,59.93942522
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,488.3354762,None,weather,8,13,sing,yellow,486.3362461,None,None,486.3362461,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep09Sing1,48,2022_Sep_09_1433,ProdSingRedoBetween,2021.2.3,59.93942522
