StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,37.6899946,None,c,26.1339288,37.6899946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,,,,,,,,,,,SingTest,63.8690692,None,space,6.1706639,63.8690692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
0,0,0,0,,,,,,,,,,,,,,,,,,63.8690692,None,63.8690692,None,63.8690692,None,63.8690692,None,72.5873419,None,community,22,1,sing,yellow,70.5729989,None,None,70.5729989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,75.0899323,None,poetry,62,2,sing,red,73.0878102,None,space,73.0878102,None,1.3682656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,77.6090504,None,curve,64,3,sing,red,75.6015902,None,None,75.6015902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,80.1117136,None,smooth,14,4,sing,yellow,78.1111566,None,None,78.1111566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,82.6141141,None,carry,11,5,sing,yellow,80.6120671,None,None,80.6120671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,85.1166492,None,entrance,74,6,sing,red,83.1146254,None,None,83.1146254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,87.6355867,None,fellow,38,7,sing,blue,85.622295,None,None,85.622295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,90.138297,None,platform,79,8,sing,red,88.1361794,None,None,88.1361794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,92.6574858,None,shear,50,9,sing,blue,90.6419082,None,None,90.6419082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,95.1766366,None,short,13,10,sing,yellow,93.1678923,None,None,93.1678923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,97.6792227,None,character,66,11,sing,red,95.6771923,None,None,95.6771923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,100.1983039,None,personnel,23,12,sing,yellow,98.1830297,None,None,98.1830297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,102.7008752,None,notice,44,13,sing,blue,100.6987884,None,None,100.6987884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,105.203496,None,space,29,14,sing,blue,103.2014384,None,None,103.2014384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
