StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,89.8571912,None,b,1224.789825,89.8571912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July22Aloud2,5,2022_Jul_22_1407,ProdSingRedoBetween,2021.2.3,60.11266316
,,,,,,,,,,,,,,AloudTest,1314.731884,None,space,12.7467646,1314.731884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July22Aloud2,5,2022_Jul_22_1407,ProdSingRedoBetween,2021.2.3,60.11266316
0,0,0,0,,,,,,,,,,,,,,,,,,1314.731884,None,1314.731884,None,1314.731884,None,1314.731884,None,1330.025498,None,religion,53,1,aloud,blue,1328.020471,None,None,1328.020471,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July22Aloud2,5,2022_Jul_22_1407,ProdSingRedoBetween,2021.2.3,60.11266316
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1332.555694,None,character,80,2,aloud,red,1330.547933,None,None,1330.547933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July22Aloud2,5,2022_Jul_22_1407,ProdSingRedoBetween,2021.2.3,60.11266316
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,1335.058464,None,detective,51,3,aloud,blue,1333.056105,None,None,1333.056105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July22Aloud2,5,2022_Jul_22_1407,ProdSingRedoBetween,2021.2.3,60.11266316
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,1337.577653,None,universal,68,4,aloud,red,1335.583081,None,None,1335.583081,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July22Aloud2,5,2022_Jul_22_1407,ProdSingRedoBetween,2021.2.3,60.11266316
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,1340.096828,None,skill,89,5,aloud,red,1338.09069,None,None,1338.09069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July22Aloud2,5,2022_Jul_22_1407,ProdSingRedoBetween,2021.2.3,60.11266316
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,1342.615981,None,hunger,6,6,aloud,yellow,1340.604424,None,None,1340.604424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July22Aloud2,5,2022_Jul_22_1407,ProdSingRedoBetween,2021.2.3,60.11266316
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,1345.135218,None,sunset,44,7,aloud,blue,1343.126496,None,None,1343.126496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July22Aloud2,5,2022_Jul_22_1407,ProdSingRedoBetween,2021.2.3,60.11266316
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,1347.654438,None,rural,4,8,aloud,yellow,1345.643192,None,None,1345.643192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July22Aloud2,5,2022_Jul_22_1407,ProdSingRedoBetween,2021.2.3,60.11266316
