StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,24.9178089001216,None,a,106.48094579996541,24.9178089001216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silent7,001,2022_Jul_27_1133,ProdSingRedoBetween,2021.2.3,59.85930672912203,
,,,,,,,,,,,,,,SilentTest,131.48322310019284,None,space,27.859506499953568,131.48322310019284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silent7,001,2022_Jul_27_1133,ProdSingRedoBetween,2021.2.3,59.85930672912203,
0,0,0,0,,,,,,,,,,,,,,,,,,131.48322310019284,None,131.48322310019284,None,131.48322310019284,None,131.48322310019284,None,161.88498889980838,None,opening,21,1,silent,yellow,159.88477679993957,None,None,159.88477679993957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silent7,001,2022_Jul_27_1133,ProdSingRedoBetween,2021.2.3,59.85930672912203,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,164.38770719990134,None,afternoon,73,2,silent,red,162.38559699989855,None,None,162.38559699989855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silent7,001,2022_Jul_27_1133,ProdSingRedoBetween,2021.2.3,59.85930672912203,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,166.90699429996312,None,route,45,3,silent,blue,164.89698750013486,None,None,164.89698750013486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silent7,001,2022_Jul_27_1133,ProdSingRedoBetween,2021.2.3,59.85930672912203,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,169.41089309984818,None,impact,22,4,silent,yellow,167.40731400018558,None,None,167.40731400018558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silent7,001,2022_Jul_27_1133,ProdSingRedoBetween,2021.2.3,59.85930672912203,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,171.92864160006866,None,election,18,5,silent,yellow,169.91881019994617,None,None,169.91881019994617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silent7,001,2022_Jul_27_1133,ProdSingRedoBetween,2021.2.3,59.85930672912203,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,174.44782170001417,None,suspect,27,6,silent,yellow,172.4394558002241,None,None,172.4394558002241,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silent7,001,2022_Jul_27_1133,ProdSingRedoBetween,2021.2.3,59.85930672912203,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,176.96700339997187,None,present,17,7,silent,yellow,174.95770609984174,None,None,174.95770609984174,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silent7,001,2022_Jul_27_1133,ProdSingRedoBetween,2021.2.3,59.85930672912203,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,179.48617980023846,None,object,8,8,silent,yellow,177.48527469998226,None,None,177.48527469998226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silent7,001,2022_Jul_27_1133,ProdSingRedoBetween,2021.2.3,59.85930672912203,
