StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,39.1406523,None,a,489.3470927,39.1406523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
,,,,,,,,,,,,,,SilentTest,528.5567312,None,space,13.8029386,528.5567312,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
0,0,0,0,,,,,,,,,,,,,,,,,,528.5567312,None,528.5567312,None,528.5567312,None,528.5567312,None,544.9032781,None,career,85,1,silent,red,542.902074,None,None,542.902074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,547.4217898,None,trend,20,2,silent,yellow,545.4106147,None,None,545.4106147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,549.9408965,None,science,68,3,silent,red,547.9312805,None,None,547.9312805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,552.4600361,None,property,37,4,silent,blue,550.4498375,None,None,550.4498375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,554.9792604,None,speech,70,5,silent,red,552.9694251,None,None,552.9694251,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,557.4980701,None,empty,81,6,silent,red,555.4894216,None,None,555.4894216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,560.0009761,None,power,29,7,silent,blue,557.9987023,None,None,557.9987023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,562.5201223,None,watch,57,8,silent,blue,560.5112048,None,None,560.5112048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,565.0393177,None,surface,77,9,silent,red,563.0297805,None,None,563.0297805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July18Silent1,4,2022_Jul_18_1417,ProdSingRedoBetween,2021.2.3,59.92706877
