StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,33.04525840000133,None,c,5.0361130999954185,33.04525840000133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing45,001,2022_Sep_06_0946,ProdSingRedoBetween,2021.2.3,59.92437543962602,
,,,,,,,,,,,,,,SingTest,38.12560430000303,None,space,1.395494399999734,38.12560430000303,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing45,001,2022_Sep_06_0946,ProdSingRedoBetween,2021.2.3,59.92437543962602,
0,0,0,0,,,,,,,,,,,,,,,,,,38.12560430000303,None,38.12560430000303,None,38.12560430000303,None,38.12560430000303,None,42.060806599998614,None,bicycle,83,1,sing,red,40.048748599991086,None,None,40.048748599991086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing45,001,2022_Sep_06_0946,ProdSingRedoBetween,2021.2.3,59.92437543962602,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,44.57998700000462,None,finance,9,2,sing,yellow,42.57202269999834,None,None,42.57202269999834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing45,001,2022_Sep_06_0946,ProdSingRedoBetween,2021.2.3,59.92437543962602,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,47.08256369999435,None,scene,65,3,sing,red,45.08049469999969,None,None,45.08049469999969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing45,001,2022_Sep_06_0946,ProdSingRedoBetween,2021.2.3,59.92437543962602,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,49.5851066000032,None,cross,31,4,sing,blue,47.583016000004136,None,None,47.583016000004136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing45,001,2022_Sep_06_0946,ProdSingRedoBetween,2021.2.3,59.92437543962602,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,52.10420400000294,None,session,66,5,sing,red,50.090585300000384,None,None,50.090585300000384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing45,001,2022_Sep_06_0946,ProdSingRedoBetween,2021.2.3,59.92437543962602,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,54.62340840000252,None,close,15,6,sing,yellow,52.60769479999726,None,None,52.60769479999726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing45,001,2022_Sep_06_0946,ProdSingRedoBetween,2021.2.3,59.92437543962602,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,57.131842399991,None,gesture,58,7,sing,blue,55.12505689999671,None,None,55.12505689999671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing45,001,2022_Sep_06_0946,ProdSingRedoBetween,2021.2.3,59.92437543962602,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,59.661795499996515,None,company,43,8,sing,blue,57.64765569999872,None,None,57.64765569999872,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing45,001,2022_Sep_06_0946,ProdSingRedoBetween,2021.2.3,59.92437543962602,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,62.1642320999963,None,health,69,9,sing,red,60.16341569999349,None,None,60.16341569999349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing45,001,2022_Sep_06_0946,ProdSingRedoBetween,2021.2.3,59.92437543962602,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,64.6667207999999,None,bureau,18,10,sing,yellow,62.66707729999325,None,None,62.66707729999325,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing45,001,2022_Sep_06_0946,ProdSingRedoBetween,2021.2.3,59.92437543962602,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,67.18599879999238,None,blind,87,11,sing,red,65.17408280000382,None,None,65.17408280000382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing45,001,2022_Sep_06_0946,ProdSingRedoBetween,2021.2.3,59.92437543962602,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,69.68849980000232,None,trend,11,12,sing,yellow,67.68641389999539,None,None,67.68641389999539,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing45,001,2022_Sep_06_0946,ProdSingRedoBetween,2021.2.3,59.92437543962602,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,72.20768639999733,None,season,23,13,sing,yellow,70.19265240000095,None,None,70.19265240000095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing45,001,2022_Sep_06_0946,ProdSingRedoBetween,2021.2.3,59.92437543962602,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,74.70987949999108,None,thing,17,14,sing,yellow,72.70815550000407,None,None,72.70815550000407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing45,001,2022_Sep_06_0946,ProdSingRedoBetween,2021.2.3,59.92437543962602,
