StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,75.1263161,None,c,3722.472936,75.1263161,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Sing1,21,2022_Aug_08_1355,ProdSingRedoBetween,2021.2.3,59.94582097
,,,,,,,,,,,,,,SingTest,3797.646522,None,space,22.7448507,3797.646522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Sing1,21,2022_Aug_08_1355,ProdSingRedoBetween,2021.2.3,59.94582097
0,0,0,0,,,,,,,,,,,,,,,,,,3797.646522,None,3797.646522,None,3797.646522,None,3797.646522,None,3822.939693,None,native,31,1,sing,blue,3820.941467,None,None,3820.941467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Sing1,21,2022_Aug_08_1355,ProdSingRedoBetween,2021.2.3,59.94582097
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,3825.458954,None,guide,69,2,sing,red,3823.447426,None,None,3823.447426,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Sing1,21,2022_Aug_08_1355,ProdSingRedoBetween,2021.2.3,59.94582097
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,3827.961505,None,interview,70,3,sing,red,3825.960589,None,None,3825.960589,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Sing1,21,2022_Aug_08_1355,ProdSingRedoBetween,2021.2.3,59.94582097
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,3830.463943,None,bitter,58,4,sing,blue,3828.461893,None,None,3828.461893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Sing1,21,2022_Aug_08_1355,ProdSingRedoBetween,2021.2.3,59.94582097
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,3832.966384,None,hearing,22,5,sing,yellow,3830.964094,None,None,3830.964094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Sing1,21,2022_Aug_08_1355,ProdSingRedoBetween,2021.2.3,59.94582097
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,3835.4689,None,state,84,6,sing,red,3833.466873,None,None,3833.466873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Sing1,21,2022_Aug_08_1355,ProdSingRedoBetween,2021.2.3,59.94582097
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,3837.988077,None,provision,36,7,sing,blue,3835.976941,None,None,3835.976941,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Sing1,21,2022_Aug_08_1355,ProdSingRedoBetween,2021.2.3,59.94582097
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,3840.490706,None,safety,35,8,sing,blue,3838.488583,None,None,3838.488583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August8Sing1,21,2022_Aug_08_1355,ProdSingRedoBetween,2021.2.3,59.94582097
