StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,41.2524571,None,c,4.9914226,41.2524571,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
,,,,,,,,,,,,,,SingTest,46.3130597,None,space,2277.393181,46.3130597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
0,0,0,0,,,,,,,,,,,,,,,,,,46.3130597,None,46.3130597,None,46.3130597,None,46.3130597,None,2326.245361,None,sunset,6,1,sing,yellow,2324.242673,None,None,2324.242673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2328.764301,None,weather,21,2,sing,yellow,2326.749774,None,None,2326.749774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,2331.267238,None,captain,30,3,sing,blue,2329.268181,None,None,2329.268181,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,2333.769415,None,union,71,4,sing,red,2331.769028,None,None,2331.769028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,2336.271788,None,place,45,5,sing,blue,2334.271692,None,None,2334.271692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,2338.791206,None,cousin,15,6,sing,yellow,2336.77867,None,None,2336.77867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,2341.310041,None,leader,75,7,sing,red,2339.297589,None,None,2339.297589,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,2343.829351,None,enemy,50,8,sing,blue,2341.818312,None,None,2341.818312,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,2346.331929,None,public,2,9,sing,yellow,2344.332876,None,None,2344.332876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,2348.834422,None,revolution,42,10,sing,blue,2346.8347,None,None,2346.8347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,2351.353644,None,music,86,11,sing,red,2349.346014,None,None,2349.346014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,2353.856113,None,under,83,12,sing,red,2351.855122,None,None,2351.855122,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,2356.375394,None,quarter,14,13,sing,yellow,2354.367926,None,None,2354.367926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,2358.877841,None,century,82,14,sing,red,2356.877178,None,None,2356.877178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,2361.380474,None,republic,53,15,sing,blue,2359.380575,None,None,2359.380575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,2363.899532,None,husband,51,16,sing,blue,2361.885603,None,None,2361.885603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,2366.402051,None,skill,10,17,sing,yellow,2364.401224,None,None,2364.401224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,2368.904702,None,silence,9,18,sing,yellow,2366.903062,None,None,2366.903062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,2371.423743,None,device,57,19,sing,blue,2369.415287,None,None,2369.415287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,2373.926128,None,community,41,20,sing,blue,2371.924188,None,None,2371.924188,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,2376.445296,None,question,67,21,sing,red,2374.439123,None,None,2374.439123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,2378.964638,None,carry,28,22,sing,yellow,2376.949679,None,None,2376.949679,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,2381.467061,None,smell,27,23,sing,yellow,2379.467708,None,None,2379.467708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,2383.992155,None,bitter,59,24,sing,yellow,2381.97624,None,None,2381.97624,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,2386.488655,None,substance,44,25,sing,blue,2384.486675,None,None,2384.486675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June27Sing1,1,2022_Jun_27_1319,ProdSingRedoBetween,2021.2.3,59.90646205
