trials_fam.thisRepN,trials_fam.thisTrialN,trials_fam.thisN,trials_fam.thisIndex,trials_prc.thisRepN,trials_prc.thisTrialN,trials_prc.thisN,trials_prc.thisIndex,StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,text_colortest.started,text_colortest.stopped,key_colortest.keys,key_colortest.rt,key_colortest.started,key_colortest.stopped,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition_between,Condition_counterbal,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,welcome_a.started,welcome_a.stopped,welcome_b.started,welcome_b.stopped,welcome_c.started,welcome_c.stopped,welcome_d.started,welcome_d.stopped,welcome_e.started,welcome_e.stopped,welcome_f.started,welcome_f.stopped,key_resp_fam_inst.keys,key_resp_fam_inst.rt,key_resp_fam_inst.started,key_resp_fam_inst.stopped,fam_a.started,fam_a.stopped,fam_b.started,fam_b.stopped,fam_c.started,fam_c.stopped,fam_d.started,fam_d.stopped,fam_e.started,fam_e.stopped,fam_f.started,fam_f.stopped,text_famil.started,text_famil.stopped,textBlank500.started,textBlank500.stopped,key_resp_prc_inst.keys,key_resp_prc_inst.rt,key_resp_prc_inst.started,key_resp_prc_inst.stopped,prac_a.started,prac_a.stopped,prac_b.started,prac_b.stopped,prac_c.started,prac_c.stopped,prac_d.started,prac_d.stopped,prac_e.started,prac_e.stopped,prac_f.started,prac_f.stopped,text_prc_trial.started,text_prc_trial.stopped,key_resp_study_inst.keys,key_resp_study_inst.rt,key_resp_study_inst.started,key_resp_study_inst.stopped,crit_a.started,crit_a.stopped,crit_b.started,crit_b.stopped,crit_c.started,crit_c.stopped,crit_d.started,crit_d.stopped,crit_e.started,crit_e.stopped,crit_f.started,crit_f.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,post_study.started,post_study.stopped,key_resp_post_study.keys,key_resp_post_study.rt,key_resp_post_study.started,key_resp_post_study.stopped,test_inst.started,test_inst.stopped,key_resp_test_inst.keys,key_resp_test_inst.rt,key_resp_test_inst.started,key_resp_test_inst.stopped,test_word,test_num,test_order,test_condition,old_new_test,word_color_test,textConf.started,textConf.stopped,Participant Response,textInput.started,textInput.stopped,keyResp.keys,keyResp.rt,keyResp.started,keyResp.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,50.57118199998513,None,n,1.6164629999548197,50.57118199998513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,,,,,,,,,,,,,,,,,,,52.21011020010337,None,e,4.7294601001776755,52.21011020010337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,whitefoils,e,space,579.9946597001981,67.13783899997361,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.133973699994385,None,57.133973699994385,None,57.133973699994385,None,57.133973699994385,None,57.133973699994385,None,57.133973699994385,None,space,19.10547409998253,657.2826300000306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.3284390000626,None,647.3284390000626,None,647.3284390000626,None,647.3284390000626,None,647.3284390000626,None,647.3284390000626,None,676.516004800098,None,678.5027745000552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.0113860000856,None,681.0218931001145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.5225448999554,None,683.5244332000148,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.0248364000581,None,686.026953099994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.5295547000133,None,688.5297016999684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.0323652001098,None,691.032154600136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.5423795999959,None,693.5511036999524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.0519010999706,None,696.0538747000974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.5584840001538,None,698.5729561999906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.0735343999695,None,701.0756952001248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.5759120001458,None,703.5777970999479,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.0783419001382,None,706.0803827999625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.5815801001154,None,708.5832136999816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709.0836237000767,None,711.0854839000385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.586563100107,None,713.5879920001607,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,20.974371100077406,724.2218739001546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.288233499974,None,,,,,714.2310558001045,None,714.2310558001045,None,714.2310558001045,None,714.2310558001045,None,714.2310558001045,None,714.2310558001045,None,745.2746906001121,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.7905345000327,None,,,,,,,,,,,,,,,,,747.7890413999557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.2932468000799,None,,,,,,,,,,,,,,,,,750.2910647001117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.7959243999794,None,,,,,,,,,,,,,,,,,752.7939532999881,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.2983613000251,None,,,,,,,,,,,,,,,,,755.296473900089,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.80106540001,None,,,,,,,,,,,,,,,,,757.7989451000467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.3033912000246,None,,,,,,,,,,,,,,,,,760.3012612999883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.8059044999536,None,,,,,,,,,,,,,,,,,762.803834100021,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767.3086139999796,None,,,,,,,,,,,,,,,,,765.3064445999917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769.8107769000344,None,,,,,,,,,,,,,,,,,767.8085873001255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.3132254001684,None,,,,,,,,,,,,,,,,,770.3115570000373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.8158813000191,None,,,,,,,,,,,,,,,,,772.8139339999761,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777.3184027001262,None,,,,,,,,,,,,,,,,,775.3165140999481,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.8209611000493,None,,,,,,,,,,,,,,,,,777.8189519001171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.3234972001519,None,,,,,,,,,,,,,,,,,780.3214267001022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,20.986907900078222,792.9617032001261,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816.0238127999473,None,,,,,,,,,,,,,,,,,,,,,,,782.9920298000798,None,782.9920298000798,None,782.9920298000798,None,782.9920298000798,None,782.9920298000798,None,782.9920298000798,None,journal,114,1,aloud,white,814.0105423000641,None,None,814.0105423000641,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818.5263269999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rod,53,2,silent,red,816.5240959001239,None,None,816.5240959001239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.0454881000333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,product,41,3,silent,red,819.0464190000203,None,None,819.0464190000203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23NE,001,2023_Mar_10_1223,ExactRep-v3-final,2021.2.3,59.83573896034783,
