Experiment 1a,"Experiments 1b, 2, 4",Experiment 3
accident,accident,ability
account,account,advice
addition,addition,air
afternoon,afternoon,amount
agency,agency,anger
agreement,agreement,animal
alert,alert,answer
angle,angle,apple
answer,answer,arm
appeal,appeal,army
appearance,appearance,artist
article,article,author
atmosphere,atmosphere,avenue
attack,attack,bar
audience,audience,beast
author,author,bird
background,background,blood
balance,balance,blossom
beauty,beauty,board
beginning,beginning,body
benefit,benefit,book
birth,bicycle,bottle
bitter,birth,boulder
blind,bitter,bowl
block,blind,boy
break,block,brain
breath,break,breast
brief,breath,butter
bright,brief,cabin
brilliant,bright,camp
broad,brilliant,car
broke,broad,cash
budget,broke,cat
build,bucket,cattle
burden,budget,chair
bureau,build,chance
business,burden,charm
candidate,bureau,chief
capital,business,child
captain,candidate,church
career,capital,circle
carry,captain,city
center,career,clock
century,carry,coast
character,center,coffee
charter,century,coin
chief,character,college
childhood,charter,colony
citizen,chief,corn
clean,childhood,corner
clear,citizen,cost
close,clean,cottage
collection,clear,cotton
colonel,close,crime
color,collection,custom
column,colonel,dawn
comedy,color,death
comfort,column,deed
command,comedy,devil
commercial,comfort,diamond
committee,command,disease
community,commercial,doctor
company,committee,doll
concern,community,dollar
conference,company,door
congress,concern,dream
contract,conference,dress
corner,congress,dust
council,contract,duty
count,corner,earth
country,couch,effort
course,council,engine
court,count,event
cousin,country,excuse
cover,course,fact
crime,court,factory
crisis,cousin,fate
cross,cover,fault
crowd,crime,fire
curve,crisis,flag
damage,cross,flesh
dance,crowd,flood
danger,curve,flower
death,damage,forest
debate,dance,form
defeat,danger,fortune
degree,death,freedom
department,debate,friend
design,defeat,fun
detective,degree,fur
device,department,garden
direction,design,gift
discovery,detective,girl
discussion,device,glory
disease,direction,gold
display,discovery,grass
dispute,discussion,green
distance,disease,grief
division,display,hall
dozen,dispute,health
drama,distance,heaven
dream,division,hide
drink,dozen,history
drove,drama,home
edition,dream,honour
education,drink,hope
election,drove,horse
emergency,edition,hotel
employment,education,hour
empty,election,house
enemy,emergency,humour
engineer,employment,idea
entrance,empty,insect
equipment,enemy,iron
error,engineer,journal
escape,entrance,judge
estate,equipment,justice
evidence,error,king
exchange,escape,kiss
executive,estate,lad
expansion,evidence,lake
express,exchange,law
fashion,executive,leader
fellow,expansion,length
fight,express,letter
figure,fashion,library
finance,fellow,life
finish,fight,lip
force,figure,lord
foundation,finance,love
frank,finish,machine
front,force,maiden
general,foundation,market
generation,frank,master
gesture,front,meadow
government,general,meat
grade,generation,meeting
graduate,gesture,memory
